"GHO","GBDCHILDCAUSES","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","MGHEREG","Display Value","Numeric","Low","High","Comments"
"MORT_200","CH5","PUBLISHED","2001","AFR","MUS","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2013","AFR","SYC","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2009","","","MONTHS1-59","BTSX","WBDCP_SASIA","256","255.53790","","",""
"MORT_300","CH5","PUBLISHED","2000","WPR","MHL","DAYS0-27","BTSX","","0.8","0.81162","","",""
"MORT_200","CH5","PUBLISHED","2011","AFR","ZWE","MONTHS1-59","BTSX","","0","0.00732","","",""
"MORT_300","CH5","PUBLISHED","2009","AFR","COD","DAYS0-27","BTSX","","2.4","2.39612","","",""
"MORT_100","CH5","PUBLISHED","2012","AFR","CIV","MONTHS1-59","BTSX","","7","6.68718","","",""
"MORT_200","CH5","PUBLISHED","2011","AFR","BDI","DAYS0-27","BTSX","","0.5","0.48918","","",""
"MORT_200","CH5","PUBLISHED","2013","AFR","GNB","YEARS0-4","BTSX","","1.4","1.36805","","",""
"MORT_300","CH5","PUBLISHED","2013","WPR","PLW","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2003","SEAR","MDV","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2013","AFR","DZA","YEARS0-4","BTSX","","58","58.16156","","",""
"MORT_200","CH5","PUBLISHED","2010","","","MONTHS1-59","BTSX","WBDCP_EAP","0","0.00220","","",""
"MORT_200","CH5","PUBLISHED","2002","EUR","LTU","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2002","AMR","ECU","YEARS0-4","BTSX","","69","68.93430","","",""
"MORT_300","CH5","PUBLISHED","2004","EUR","SMR","DAYS0-27","BTSX","","","","","",""
"MORT_200","CH5","PUBLISHED","2009","EUR","LTU","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2009","EMR","ARE","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2010","EUR","SVK","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2012","AMR","BLZ","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2011","EUR","UZB","DAYS0-27","BTSX","","0.5","0.45099","","",""
"MORT_300","CH5","PUBLISHED","2001","EUR","TKM","DAYS0-27","BTSX","","1.4","1.40814","","",""
"MORT_200","CH5","PUBLISHED","2008","","","MONTHS1-59","BTSX","MDG_NAF","0","0.00070","","",""
"MORT_200","CH5","PUBLISHED","2011","AFR","COG","YEARS0-4","BTSX","","0.2","0.18377","","",""
"MORT_300","CH5","PUBLISHED","2013","EMR","QAT","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2005","EUR","POL","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2011","WPR","SLB","DAYS0-27","BTSX","","0.1","0.08359","","",""
"MORT_200","CH5","PUBLISHED","2001","AFR","UGA","DAYS0-27","BTSX","","0.9","0.85201","","",""
"MORT_100","CH5","PUBLISHED","2000","WPR","NZL","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2003","EUR","LUX","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2006","SEAR","LKA","MONTHS1-59","BTSX","","0","0.22848","","",""
"MORT_200","CH5","PUBLISHED","2003","AMR","ECU","YEARS0-4","BTSX","","0.2","0.21309","","",""
"MORT_200","CH5","PUBLISHED","2010","EUR","GRC","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2003","AFR","LBR","YEARS0-4","BTSX","","1.1","1.08865","","",""
"MORT_300","CH5","PUBLISHED","2004","WPR","VNM","YEARS0-4","BTSX","","0.3","0.33422","","",""
"MORT_300","CH5","PUBLISHED","2007","EUR","TJK","YEARS0-4","BTSX","","0.5","0.46892","","",""
"MORT_200","CH5","PUBLISHED","2007","EUR","MLT","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2003","","","YEARS0-4","BTSX","WBDCP_SASIA","47981","47981.40000","","",""
"MORT_100","CH5","PUBLISHED","2002","AFR","CAF","MONTHS1-59","BTSX","","5","4.62699","","",""
"MORT_100","CH5","PUBLISHED","2005","EUR","BEL","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2009","SEAR","IND","DAYS0-27","BTSX","","0.7","0.66080","","",""
"MORT_300","CH5","PUBLISHED","2005","AMR","CAN","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2007","AMR","MEX","DAYS0-27","BTSX","","0","0.01618","","",""
"MORT_100","CH5","PUBLISHED","2013","EUR","CYP","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2013","AMR","GUY","DAYS0-27","BTSX","","0.2","0.16017","","",""
"MORT_200","CH5","PUBLISHED","2009","AMR","DMA","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2001","EMR","IRQ","DAYS0-27","BTSX","","0.2","0.20096","","",""
"MORT_300","CH5","PUBLISHED","2008","","","DAYS0-27","BTSX","REG7_EUR","0.8","0.82158","","",""
"MORT_100","CH5","PUBLISHED","2001","SEAR","PRK","DAYS0-27","BTSX","","65","65.17957","","",""
"MORT_100","CH5","PUBLISHED","2003","WPR","COK","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2004","AFR","NGA","DAYS0-27","BTSX","","15167","15166.62000","","",""
"MORT_100","CH5","PUBLISHED","2006","AMR","BLZ","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2003","SEAR","THA","YEARS0-4","BTSX","","0.4","0.39337","","",""
"MORT_300","CH5","PUBLISHED","2010","AFR","TCD","MONTHS1-59","BTSX","","0","0.02183","","",""
"MORT_200","CH5","PUBLISHED","2011","WPR","TUV","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2000","EUR","ISL","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2002","AMR","ECU","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2005","AFR","COD","MONTHS1-59","BTSX","","0","0.01740","","",""
"MORT_200","CH5","PUBLISHED","2002","WPR","VNM","MONTHS1-59","BTSX","","0","0.00198","","",""
"MORT_300","CH5","PUBLISHED","2004","","","DAYS0-27","BTSX","UNICEF_WCARO","4.7","4.67729","","",""
"MORT_100","CH5","PUBLISHED","2003","AFR","SLE","YEARS0-4","BTSX","","492","492.30900","","",""
"MORT_100","CH5","PUBLISHED","2011","AFR","SLE","DAYS0-27","BTSX","","312","311.99230","","",""
"MORT_200","CH5","PUBLISHED","2011","EUR","AZE","DAYS0-27","BTSX","","0.1","0.07739","","",""
"MORT_100","CH5","PUBLISHED","2009","EUR","EST","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2008","","","DAYS0-27","BTSX","WBDCP_SSA","33904","33903.85000","","",""
"MORT_100","CH5","PUBLISHED","2000","EUR","SVK","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2007","AFR","STP","DAYS0-27","BTSX","","1","1.41857","","",""
"MORT_100","CH5","PUBLISHED","2010","AMR","PRY","DAYS0-27","BTSX","","14","14.22974","","",""
"MORT_300","CH5","PUBLISHED","2011","AFR","RWA","DAYS0-27","BTSX","","0.9","0.91488","","",""
"MORT_100","CH5","PUBLISHED","2003","AFR","GNQ","YEARS0-4","BTSX","","28","27.96877","","",""
"MORT_300","CH5","PUBLISHED","2004","AFR","MRT","DAYS0-27","BTSX","","3.1","3.05856","","",""
"MORT_200","CH5","PUBLISHED","2004","","","YEARS0-4","BTSX","WBDCP_EAP","0.1","0.10908","","",""
"MORT_200","CH5","PUBLISHED","2007","EUR","BGR","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2005","EUR","UKR","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2001","SEAR","TLS","YEARS0-4","BTSX","","54","53.89928","","",""
"MORT_100","CH5","PUBLISHED","2006","WPR","PHL","YEARS0-4","BTSX","","308","308.44330","","",""
"MORT_300","CH5","PUBLISHED","2003","EUR","KGZ","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH5","PUBLISHED","2001","AFR","TZA","MONTHS1-59","BTSX","","9","8.67128","","",""
"MORT_300","CH5","PUBLISHED","2012","SEAR","BTN","DAYS0-27","BTSX","","0.5","0.53201","","",""
"MORT_300","CH5","PUBLISHED","2000","AMR","LCA","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2001","WPR","WSM","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2010","AFR","BFA","YEARS0-4","BTSX","","0.4","0.41951","","",""
"MORT_200","CH5","PUBLISHED","2011","AMR","ECU","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH5","PUBLISHED","2007","","","YEARS0-4","BTSX","REG6_AMR","0","0.04073","","",""
"MORT_200","CH5","PUBLISHED","2001","EUR","SVK","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2006","SEAR","BGD","DAYS0-27","BTSX","","1.6","1.59782","","",""
"MORT_300","CH5","PUBLISHED","2011","EUR","TUR","DAYS0-27","BTSX","","0.6","0.56689","","",""
"MORT_100","CH5","PUBLISHED","2006","AMR","GTM","DAYS0-27","BTSX","","75","75.27443","","",""
"MORT_200","CH5","PUBLISHED","2003","WPR","SLB","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_300","CH5","PUBLISHED","2010","EUR","KAZ","DAYS0-27","BTSX","","0.3","0.34116","","",""
"MORT_200","CH5","PUBLISHED","2009","AMR","BRA","DAYS0-27","BTSX","","0","0.00107","","",""
"MORT_300","CH5","PUBLISHED","2012","","","DAYS0-27","BTSX","MDG_CCA","0.5","0.51721","","",""
"MORT_200","CH5","PUBLISHED","2011","EMR","SDN","MONTHS1-59","BTSX","","0","0.00411","","",""
"MORT_300","CH5","PUBLISHED","2001","WPR","SLB","YEARS0-4","BTSX","","0.3","0.32190","","",""
"MORT_300","CH5","PUBLISHED","2011","AMR","BHS","YEARS0-4","BTSX","","0","0.00000","","",""
