"GHO","GBDCHILDCAUSES","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","MGHEREG","Display Value","Numeric","Low","High","Comments"
"MORT_300","CH4","PUBLISHED","2009","AMR","ARG","YEARS0-4","BTSX","","0.2","0.22537","","",""
"MORT_300","CH4","PUBLISHED","2010","WPR","KOR","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH4","PUBLISHED","2011","AFR","NAM","MONTHS1-59","BTSX","","3.7","3.65042","","",""
"MORT_200","CH4","PUBLISHED","2010","AMR","TTO","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH4","PUBLISHED","2012","","","DAYS0-27","BTSX","REG6_WPR","0.1","0.11274","","",""
"MORT_200","CH4","PUBLISHED","2000","AFR","MOZ","MONTHS1-59","BTSX","","1.1","1.07684","","",""
"MORT_200","CH4","PUBLISHED","2007","AMR","PER","MONTHS1-59","BTSX","","0.2","0.17724","","",""
"MORT_100","CH4","PUBLISHED","2000","AFR","GMB","YEARS0-4","BTSX","","55","55.00000","","",""
"MORT_100","CH4","PUBLISHED","2004","AFR","LSO","MONTHS1-59","BTSX","","51","51.00000","","",""
"MORT_100","CH4","PUBLISHED","2012","WPR","WSM","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH4","PUBLISHED","2006","EUR","TJK","MONTHS1-59","BTSX","","0.2","0.17590","","",""
"MORT_100","CH4","PUBLISHED","2002","EUR","TUR","DAYS0-27","BTSX","","14","14.00000","","",""
"MORT_100","CH4","PUBLISHED","2005","AMR","SUR","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH4","PUBLISHED","2006","AMR","GUY","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH4","PUBLISHED","2007","AMR","COL","MONTHS1-59","BTSX","","0","0.00928","","",""
"MORT_100","CH4","PUBLISHED","2003","EUR","BIH","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH4","PUBLISHED","2008","EMR","ARE","MONTHS1-59","BTSX","","0.1","0.09278","","",""
"MORT_200","CH4","PUBLISHED","2006","","","DAYS0-27","BTSX","REG7_AMR","0","0.00568","","",""
"MORT_300","CH4","PUBLISHED","2013","AMR","GTM","YEARS0-4","BTSX","","0.6","0.61248","","",""
"MORT_200","CH4","PUBLISHED","2002","AMR","ECU","MONTHS1-59","BTSX","","0.2","0.17996","","",""
"MORT_200","CH4","PUBLISHED","2000","EUR","TUR","DAYS0-27","BTSX","","0","0.00935","","",""
"MORT_300","CH4","PUBLISHED","2004","","","DAYS0-27","BTSX","REG6_EUR","0.0","0.03937","","",""
