iso_code,country,vaxspending1998,vaxspending1999,vaxspending2000,vaxspending2001,vaxspending2002,vaxspending2003,vaxspending2004,vaxspending2005,vaxspending2006,vaxspending2007,vaxspending2008,vaxspending2009,vaxspending2010,vaxspending2011,vaxspending2012,vaxspending2013,vaxspending2014
EGY,Egypt,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SLV,El Salvador,84%,100%,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
GNQ,Equatorial Guinea,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,59%,93%,100%,100%,100%
ERI,Eritrea,0%,0%,0%,0%,0%,20%,0%,0%,10%,,,,1%,3%,3%,4%,6%
EST,Estonia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
ETH,Ethiopia,10%,10%,20%,0%,0%,0%,0%,0%,0%,0%,0%,7%,5%,7%,8%,,12%
FJI,Fiji,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,56%,81%
FIN,Finland,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
FRA,France,10%,10%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%
GAB,Gabon,100%,100%,100%,100%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
GMB,Gambia,50%,60%,100%,57%,50%,100%,45%,60%,35%,8%,10%,35%,48%,100%,16%,19%,34%
GEO,Georgia,0%,30%,30%,35%,35%,40%,50%,53%,71%,43%,63%,88%,79%,78%,57%,62%,64%
DEU,Germany,10%,10%,100%,100%,100%,100%,100%,100%,,,,,,,,,
GHA,Ghana,0%,0%,0%,10%,21%,21%,62%,55%,54%,54%,20%,,,,11%,15%,12%
GRC,Greece,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,
GRD,Grenada,100%,100%,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
GTM,Guatemala,100%,85%,100%,100%,100%,93%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%
GIN,Guinea,25%,21%,20%,20%,20%,20%,8%,10%,40%,70%,65%,30%,24%,24%,26%,41%,
GNB,Guinea-Bissau,0%,0%,0%,0%,0%,0%,0%,0%,,0%,,0%,,23%,,0%,
GUY,Guyana,100%,100%,100%,90%,80%,70%,60%,95%,100%,100%,97%,100%,69%,54%,57%,61%,82%
HTI,Haiti,0%,0%,0%,0%,0%,9%,0%,10%,0%,0%,0%,0%,,0%,0%,,
HND,Honduras,99%,100%,100%,100%,96%,91%,100%,100%,100%,100%,100%,71%,63%,77%,45%,63%,73%
HUN,Hungary,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
ISL,Iceland,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
IND,India,98%,98%,100%,100%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,63%,78%
IDN,Indonesia,100%,100%,100%,100%,99%,85%,89%,100%,87%,92%,100%,100%,100%,100%,100%,85%,78%
