YEAR,COUNTRY,AGEGROUP,SEX,Display Value
2000,TCD,AGE60-64,FMLE,0.031011
1990,ZWE,AGE50-54,MLE,0.012609
2000,,AGE20-24,FMLE,0.00244
2013,AFG,AGE35-39,MLE,0.003908
2013,AUT,AGE65-69,MLE,0.017736
2000,,AGELT1,BTSX,0.069232
2012,IRQ,AGE55-59,FMLE,0.007683
2000,,AGE85-89,MLE,0.220987
2000,GUY,AGE55-59,FMLE,0.016632
2000,CYP,AGE5-9,FMLE,0.000227
2012,VCT,AGE55-59,MLE,0.009728
2013,ESP,AGE35-39,MLE,0.000867
2000,VNM,AGELT1,FMLE,0.021508
2012,,AGE20-24,BTSX,0.003951
2012,KWT,AGE90-94,MLE,0.235162
2013,,AGE100PLUS,BTSX,0.535503
2000,ARE,AGE85-89,FMLE,0.157288
2013,ISL,AGE70-74,MLE,0.022019
2012,MMR,AGE30-34,MLE,0.003009
2000,BGR,AGE20-24,FMLE,0.0005
1990,CPV,AGE25-29,FMLE,0.001809
2000,MCO,AGE85-89,MLE,0.135048
2012,ECU,AGE1-4,FMLE,0.000837
2000,MRT,AGE45-49,FMLE,0.005777
2012,COG,AGE5-9,MLE,0.003954
2013,SLE,AGE60-64,MLE,0.04024
2013,NGA,AGE35-39,MLE,0.008973
2012,CAF,AGE90-94,MLE,0.376802
2012,MHL,AGE55-59,FMLE,0.007646
2013,NOR,AGE20-24,MLE,0.000771
2012,SWE,AGE45-49,MLE,0.001841
2012,SWZ,AGE90-94,FMLE,0.303378
2000,,AGE45-49,BTSX,0.005663
1990,COL,AGE15-19,MLE,0.002756
1990,MYS,AGE80-84,MLE,0.12377
1990,QAT,AGE25-29,FMLE,0.000491
2013,ARM,AGE50-54,MLE,0.011795
2012,LBR,AGE5-9,FMLE,0.00214
2013,BTN,AGE45-49,FMLE,0.007049
2000,KEN,AGELT1,FMLE,0.065907
2013,CZE,AGE65-69,FMLE,0.011888
2013,CUB,AGE95-99,FMLE,0.261767
2012,MAR,AGE55-59,FMLE,0.008718
2013,NLD,AGE70-74,FMLE,0.015055
1990,DEU,AGE80-84,MLE,0.125519
2012,IRN,AGE65-69,MLE,0.020028
2013,ROU,AGE45-49,MLE,0.007009
2000,NRU,AGE35-39,FMLE,0.000659
2013,TUV,AGE50-54,MLE,0.012631
2013,LKA,AGE15-19,MLE,0.000912
1990,AFG,AGE20-24,MLE,0.00605
2013,SLV,AGE70-74,FMLE,0.025922
2012,VNM,AGE60-64,MLE,0.018123
2013,GRD,AGE70-74,MLE,0.056751
2000,SVK,AGE85-89,FMLE,0.157423
2012,ATG,AGE1-4,MLE,0
2013,,AGE1-4,FMLE,0.000973
2012,ATG,AGE70-74,MLE,0.037217
1990,MKD,AGE100PLUS,MLE,0.494328
2012,FSM,AGE5-9,FMLE,0.000724
2012,DOM,AGE55-59,MLE,0.008072
2000,MNE,AGE55-59,FMLE,0.007844
2012,COG,AGE60-64,FMLE,0.018256
2012,POL,AGE30-34,MLE,0.001402
2013,GNB,AGE90-94,MLE,0.44233
2013,IRQ,AGE15-19,FMLE,0.00045
2000,CHL,AGE75-79,FMLE,0.037
1990,ARE,AGE25-29,MLE,0.000907
2013,LBY,AGE45-49,FMLE,0.002411
2013,DZA,AGE35-39,MLE,0.001996
2000,,AGE95-99,MLE,0.364247
2012,LSO,AGE10-14,FMLE,0.003678
2012,MLI,AGE90-94,MLE,0.426855
2013,GHA,AGE65-69,MLE,0.03258
2012,GMB,AGE90-94,FMLE,0.335516
2012,KEN,AGELT1,MLE,0.054934
2012,KEN,AGE1-4,MLE,0.006647
1990,SGP,AGE75-79,FMLE,0.049267
2013,ZMB,AGE35-39,FMLE,0.009453
2012,TLS,AGE1-4,FMLE,0.002281
2000,,AGE10-14,FMLE,0.000179
2000,NIC,AGE30-34,FMLE,0.001304
1990,BRN,AGE25-29,MLE,0.001541
2013,LAO,AGE45-49,FMLE,0.00484
2012,SVN,AGE85-89,MLE,0.134109
2000,TGO,AGELT1,FMLE,0.072283
2013,LVA,AGE65-69,FMLE,0.015098
1990,NIU,AGE85-89,MLE,0.233592
2000,ETH,AGE100PLUS,FMLE,0.581218
2013,LKA,AGE70-74,FMLE,0.028255
2012,AZE,AGE65-69,MLE,0.034005
2013,ITA,AGE90-94,MLE,0.198823
2000,MMR,AGE35-39,FMLE,0.003978
2012,NPL,AGE35-39,MLE,0.002674
1990,BWA,AGE75-79,MLE,0.062482
2012,LUX,AGE70-74,MLE,0.025901
2000,MDA,AGE30-34,FMLE,0.001146
2012,ATG,AGE55-59,FMLE,0.008953
2000,BRB,AGELT1,MLE,0.01767
2000,USA,AGE100PLUS,FMLE,0.41805
2013,DMA,AGE45-49,MLE,0.009666
1990,ETH,AGELT1,MLE,0.147605
2000,COK,AGE65-69,MLE,0.038
2013,NIC,AGE40-44,FMLE,0.002597
1990,BEN,AGELT1,FMLE,0.100659
2000,THA,AGE5-9,MLE,0.000805
1990,UKR,AGE85-89,FMLE,0.170297
2013,DEU,AGE15-19,MLE,0.000327
2013,NRU,AGE90-94,FMLE,0.119401
1990,BRN,AGE80-84,FMLE,0.067082
2000,TJK,AGELT1,FMLE,0.068313
2012,EGY,AGE60-64,MLE,0.02439
2013,IRN,AGE70-74,MLE,0.042099
2000,GRC,AGE85-89,FMLE,0.139413
1990,LCA,AGE30-34,MLE,0.002851
2013,CPV,AGE85-89,FMLE,0.14153
2000,THA,AGE50-54,MLE,0.009407
2000,MDG,AGE35-39,MLE,0.00636
2012,COL,AGE80-84,FMLE,0.056308
2000,AGO,AGE50-54,FMLE,0.015
2013,SVK,AGE15-19,FMLE,0.000246
2000,GTM,AGE30-34,MLE,0.006523
2000,HTI,AGELT1,FMLE,0.07151
2000,KHM,AGE90-94,FMLE,0.135523
2013,,AGE20-24,FMLE,0.001577
2000,SWZ,AGE85-89,FMLE,0.211632
2013,ARM,AGE35-39,FMLE,0.00111
2012,SWE,AGE30-34,FMLE,0.000327
2012,GMB,AGE35-39,MLE,0.006714
1990,FSM,AGELT1,FMLE,0.040084
2012,MOZ,AGE35-39,FMLE,0.01943
2000,LVA,AGE80-84,MLE,0.114389
2013,TUR,AGE15-19,FMLE,0.000613
2000,CPV,AGE30-34,FMLE,0.001165
2013,PRY,AGE65-69,FMLE,0.015372
1990,DMA,AGE95-99,FMLE,0.339202
2000,ZMB,AGE25-29,FMLE,0.015727
2012,BEL,AGE10-14,FMLE,0.000093
2000,MLT,AGELT1,MLE,0.007309
1990,HND,AGE45-49,MLE,0.00736
2013,BRB,AGE40-44,MLE,0.001849
2013,BHR,AGE100PLUS,FMLE,0.405211
2013,LSO,AGE5-9,MLE,0.003986
2012,SOM,AGE60-64,FMLE,0.022371
2012,TON,AGE95-99,FMLE,0.398092
2000,SRB,AGE80-84,FMLE,0.113606
2013,BGD,AGE40-44,FMLE,0.002509
1990,MMR,AGE100PLUS,MLE,0.6207
1990,KIR,AGE20-24,FMLE,0.002626
2012,WSM,AGE70-74,MLE,0.058804
1990,BIH,AGE100PLUS,FMLE,0.481833
2000,RWA,AGELT1,MLE,0.124356
2013,IRL,AGE65-69,MLE,0.014779
2012,LUX,AGE10-14,FMLE,0.000041
2013,,AGE55-59,FMLE,0.004686
2012,DOM,AGE65-69,FMLE,0.015172
2013,GTM,AGE75-79,MLE,0.050392
2000,VCT,AGE50-54,MLE,0.011119
2013,,AGE100PLUS,BTSX,0.408089
2000,RUS,AGE5-9,MLE,0.000605
2013,BFA,AGE15-19,FMLE,0.003196
2000,POL,AGE85-89,MLE,0.178
2000,DNK,AGE75-79,FMLE,0.040861
2013,GEO,AGE90-94,FMLE,0.22194
2000,LSO,AGE75-79,MLE,0.102925
2000,ARM,AGE60-64,FMLE,0.01503
1990,BEL,AGE80-84,FMLE,0.077458
2013,LAO,AGE35-39,MLE,0.002673
2000,,AGE100PLUS,BTSX,0.446587
2000,MCO,AGE25-29,FMLE,0.000273
2012,SWE,AGE90-94,MLE,0.235597
2012,VEN,AGE1-4,FMLE,0.000507
2000,BHR,AGE35-39,MLE,0.001137
1990,IRN,AGE55-59,MLE,0.015099
1990,HUN,AGE40-44,MLE,0.007
2012,SYC,AGE40-44,MLE,0.006329
1990,TON,AGE1-4,FMLE,0.001
2000,CPV,AGE75-79,FMLE,0.068112
2000,CZE,AGE1-4,MLE,0.00025
2000,JOR,AGE60-64,FMLE,0.013
2000,GRC,AGE30-34,MLE,0.001126
2012,HND,AGE90-94,MLE,0.200431
2013,VEN,AGE20-24,MLE,0.004216
2000,CPV,AGE90-94,MLE,0.339832
2012,KWT,AGE30-34,FMLE,0.000313
2013,AND,AGE90-94,MLE,0.225503
2012,URY,AGE35-39,MLE,0.001921
1990,ARG,AGE40-44,FMLE,0.002211
2000,SGP,AGE35-39,FMLE,0.000654
2013,TUR,AGE75-79,MLE,0.07376
2000,BEN,AGE45-49,FMLE,0.008029
2013,GNQ,AGE95-99,MLE,0.501228
2012,MYS,AGE90-94,MLE,0.232966
1990,NOR,AGE85-89,MLE,0.179317
2012,NZL,AGE90-94,FMLE,0.162373
2000,IRL,AGE55-59,MLE,0.008892
