GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH6,PUBLISHED,2003,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.16475,,,
MORT_300,CH6,PUBLISHED,2004,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.15526,,,
MORT_300,CH6,PUBLISHED,2006,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.1648,,,
MORT_300,CH6,PUBLISHED,2002,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.16314,,,
MORT_300,CH6,PUBLISHED,2007,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.16753,,,
MORT_300,CH6,PUBLISHED,2000,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.15795,,,
MORT_300,CH6,PUBLISHED,2011,EUR,ARM,MONTHS1-59,BTSX,,0,0.00158,,,
MORT_300,CH6,PUBLISHED,2008,EUR,ARM,MONTHS1-59,BTSX,,0,0.00113,,,
MORT_300,CH6,PUBLISHED,2001,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.16135,,,
MORT_300,CH6,PUBLISHED,2013,EUR,ARM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EUR,ARM,MONTHS1-59,BTSX,,0,0.00133,,,
MORT_300,CH6,PUBLISHED,2003,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.1579,,,
MORT_300,CH6,PUBLISHED,2009,EUR,ARM,MONTHS1-59,BTSX,,0,0.00134,,,
MORT_300,CH6,PUBLISHED,2012,EUR,ARM,MONTHS1-59,BTSX,,0,0.00189,,,
MORT_300,CH6,PUBLISHED,2003,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,AMR,ATG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,WPR,AUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
