iso_code,year,rateofoutofschoolM
JPN,2013,0.05001
ZWE,1998,19.39785
ZWE,1999,16.89735
ZWE,2000,15.67016
ZWE,2001,13.82235
ZWE,2002,16.97216
ZWE,2003,18.18906
ZWE,2012,11.74544
RUS,1994,3.25081
RUS,1995,6.93287
RUS,2006,7.93772
RUS,2007,7.07571
RUS,2008,5.74456
RUS,2009,4.49037
RUS,2011,3.29059
RUS,2012,3.28263
RUS,2013,3.08233
CHL,2007,1.79389
CHL,2008,2.16842
CHL,2009,4.89967
CHL,2010,4.8165
CHL,2011,6.11971
CHL,2012,6.74142
CHL,2013,7.45469
MLI,1971,78.88087
MLI,1999,49.57868
MLI,2002,42.62047
MLI,2003,42.68325
MLI,2004,44.90148
MLI,2005,37.98889
MLI,2006,37.09742
MLI,2007,35.11392
MLI,2009,27.87247
MLI,2010,27.09774
MLI,2011,26.36973
MLI,2012,28.79431
MLI,2014,33.0084
IRQ,1971,21.72589
IRQ,1972,18.16032
IRQ,1973,15.17022
IRQ,1974,12.80898
IRQ,1975,16.17142
IRQ,1976,7.14554
IRQ,1977,8.48907
IRQ,1978,8.80401
IRQ,1979,1.76732
IRQ,1980,1.33829
IRQ,1981,3.56386
IRQ,1983,7.99189
IRQ,1985,7.50909
IRQ,1986,6.90747
IRQ,1987,4.87411
IRQ,1988,4.72266
IRQ,1989,4.47419
IRQ,1993,18.05013
IRQ,1996,20.30145
IRQ,1999,4.47664
IRQ,2000,5.57941
IRQ,2004,0.99767
IRQ,2007,2.28213
NOR,1978,1.27929
NOR,1979,1.73848
NOR,1981,1.72853
NOR,1982,1.97783
NOR,1984,2.72952
NOR,1985,3.63709
NOR,1986,3.49004
NOR,1987,3.08023
NOR,1988,2.20611
NOR,1989,1.24957
NOR,1990,0.25759
NOR,1992,0.38463
NOR,1993,1.49461
NOR,1994,1.66171
NOR,1995,1.75446
NOR,1996,1.74196
NOR,1997,1.01374
NOR,1998,0.3224
NOR,1999,0.11951
NOR,2000,0.39255
NOR,2001,0.30443
NOR,2002,0.37123
NOR,2003,0.1667
NOR,2004,0.64387
NOR,2005,1.55656
NOR,2006,1.67662
NOR,2007,0.88724
NOR,2008,0.76469
NOR,2009,0.95772
NOR,2010,1.10063
NOR,2011,0.8006
NOR,2012,0.48998
NOR,2013,0.09248
BLZ,1999,0.50667
BLZ,2000,3.19705
BLZ,2001,6.29429
BLZ,2003,6.87692
BLZ,2004,5.21969
BLZ,2005,4.95779
BLZ,2006,4.66378
BLZ,2007,5.31299
BLZ,2008,3.51246
BLZ,2009,2.67457
BLZ,2010,2.10705
BLZ,2011,1.7033
BLZ,2012,0.66569
BLZ,2013,0.87771
BLZ,2014,2.41199
LKA,2003,0.4766
LKA,2005,2.73222
LKA,2006,3.01525
LKA,2007,3.28989
LKA,2008,4.0295
LKA,2009,5.99887
LKA,2010,4.13997
LKA,2011,3.82011
LKA,2012,3.64086
LKA,2013,2.51382
LKA,2014,1.79082
MAR,1975,48.93626
MAR,1976,46.02423
MAR,1977,41.14854
MAR,1978,37.25771
MAR,1979,34.5061
MAR,1980,31.50233
MAR,1981,28.65122
MAR,1982,28.73313
MAR,1983,26.37602
MAR,1984,23.44317
MAR,1985,25.08472
MAR,1986,27.20212
MAR,1987,29.7289
MAR,1988,32.01154
MAR,1989,34.79644
MAR,1990,34.35065
MAR,1991,35.00066
MAR,1992,34.9162
MAR,1993,32.92318
MAR,1994,30.65991
MAR,1995,28.17356
MAR,1996,26.2727
MAR,1997,25.1299
MAR,1998,27.58883
MAR,1999,23.79296
MAR,2000,19.86495
MAR,2001,16.94048
MAR,2002,13.29752
MAR,2003,12.43
MAR,2004,12.79395
MAR,2005,11.8014
MAR,2006,10.50262
MAR,2007,9.36378
MAR,2008,8.48867
MAR,2009,8.49444
MAR,2010,4.52929
MAR,2011,2.3963
MAR,2012,1.98169
MAR,2013,1.20961
MAR,2014,0.96613
VAT,1970,
VAT,1971,
VAT,1972,
VAT,1973,
VAT,1974,
VAT,1975,
VAT,1976,
VAT,1977,
VAT,1978,
VAT,1979,
VAT,1980,
VAT,1981,
VAT,1982,
VAT,1983,
VAT,1984,
VAT,1985,
VAT,1986,
VAT,1987,
VAT,1988,
VAT,1989,
VAT,1990,
VAT,1991,
VAT,1992,
VAT,1993,
VAT,1994,
VAT,1995,
VAT,1996,
VAT,1997,
VAT,1998,
VAT,1999,
VAT,2000,
VAT,2001,
VAT,2002,
VAT,2003,
VAT,2004,
VAT,2005,
VAT,2006,
VAT,2007,
VAT,2008,
VAT,2009,
VAT,2010,
VAT,2011,
VAT,2012,
VAT,2013,
VAT,2014,
VAT,2015,
BDI,1973,76.32966
BDI,1978,78.98139
BDI,1980,77.02075
BDI,1981,74.64189
BDI,1982,69.94994
BDI,1983,62.69588
BDI,1984,57.65156
BDI,1985,53.51854
BDI,1986,51.81158
BDI,1987,47.49067
BDI,1988,46.44306
BDI,1993,48.39963
BDI,2000,55.45032
BDI,2001,45.77959
BDI,2002,46.07393
BDI,2003,43.01954
BDI,2004,43.07089
BDI,2005,40.33462
BDI,2006,25.67169
BDI,2007,19.33938
BDI,2008,9.80983
BDI,2009,12.88572
BDI,2010,8.45318
BDI,2013,7.78949
BDI,2014,5.26472
SLE,1983,41.32042
SLE,2012,0.025
PRY,1970,18.98447
PRY,1972,18.27318
PRY,1975,20.22985
PRY,1976,18.93435
PRY,1977,18.06886
PRY,1978,16.40646
PRY,1979,15.12947
PRY,1980,12.92859
PRY,1981,11.05964
PRY,1982,6.68632
PRY,1983,10.42252
PRY,1984,10.96931
PRY,1985,11.16321
PRY,1986,12.20439
PRY,1987,11.55929
PRY,1988,9.91335
PRY,1989,8.24352
PRY,1990,6.21827
PRY,1991,4.30437
PRY,1992,3.27458
