GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH6,PUBLISHED,2005,AFR,AGO,MONTHS1-59,BTSX,,0.3,0.25157,,,
MORT_300,CH6,PUBLISHED,2012,AFR,AGO,YEARS0-4,BTSX,,0.8,0.80992,,,
MORT_300,CH6,PUBLISHED,2005,AFR,AGO,YEARS0-4,BTSX,,0.2,0.18664,,,
MORT_300,CH6,PUBLISHED,2011,AFR,AGO,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,AFR,AGO,MONTHS1-59,BTSX,,0.3,0.27628,,,
MORT_300,CH6,PUBLISHED,2003,AFR,AGO,MONTHS1-59,BTSX,,1.6,1.55088,,,
MORT_300,CH6,PUBLISHED,2013,AFR,AGO,MONTHS1-59,BTSX,,0.6,0.56584,,,
MORT_300,CH6,PUBLISHED,2006,AFR,AGO,MONTHS1-59,BTSX,,0.5,0.50154,,,
MORT_300,CH6,PUBLISHED,2004,AFR,AGO,MONTHS1-59,BTSX,,0,0.02116,,,
MORT_300,CH6,PUBLISHED,2013,AFR,AGO,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,AFR,AGO,YEARS0-4,BTSX,,0.4,0.3583,,,
MORT_300,CH6,PUBLISHED,2002,AFR,AGO,YEARS0-4,BTSX,,3.3,3.28978,,,
MORT_300,CH6,PUBLISHED,2001,AFR,AGO,YEARS0-4,BTSX,,2.6,2.61082,,,
MORT_300,CH6,PUBLISHED,2009,AFR,AGO,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,AFR,AGO,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,AFR,AGO,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,AFR,AGO,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,AFR,AGO,MONTHS1-59,BTSX,,0.8,0.81222,,,
MORT_300,CH6,PUBLISHED,2006,AFR,AGO,YEARS0-4,BTSX,,0.4,0.37174,,,
MORT_300,CH6,PUBLISHED,2003,AFR,AGO,YEARS0-4,BTSX,,1.2,1.15933,,,
MORT_300,CH6,PUBLISHED,2008,AFR,AGO,YEARS0-4,BTSX,,0.2,0.20028,,,
MORT_300,CH6,PUBLISHED,2010,AFR,AGO,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,AFR,AGO,MONTHS1-59,BTSX,,0.5,0.49232,,,
MORT_300,CH6,PUBLISHED,2000,AFR,AGO,YEARS0-4,BTSX,,0.8,0.77017,,,
MORT_300,CH6,PUBLISHED,2007,AFR,AGO,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EUR,ALB,MONTHS1-59,BTSX,,0.1,0.07704,,,
MORT_300,CH6,PUBLISHED,2010,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EUR,ALB,MONTHS1-59,BTSX,,0.3,0.2865,,,
MORT_300,CH6,PUBLISHED,2009,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EUR,ALB,MONTHS1-59,BTSX,,0.2,0.17722,,,
MORT_300,CH6,PUBLISHED,2001,EUR,ALB,YEARS0-4,BTSX,,0,0.00144,,,
MORT_300,CH6,PUBLISHED,2012,EUR,ALB,YEARS0-4,BTSX,,0.1,0.1305,,,
MORT_300,CH6,PUBLISHED,2004,EUR,ALB,MONTHS1-59,BTSX,,0,0.03738,,,
MORT_300,CH6,PUBLISHED,2007,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EUR,ALB,YEARS0-4,BTSX,,0.2,0.17179,,,
MORT_300,CH6,PUBLISHED,2012,EUR,ALB,MONTHS1-59,BTSX,,0.3,0.26223,,,
MORT_300,CH6,PUBLISHED,2001,EUR,ALB,MONTHS1-59,BTSX,,0,0.00267,,,
MORT_300,CH6,PUBLISHED,2007,EUR,ALB,YEARS0-4,BTSX,,0,0.04583,,,
MORT_300,CH6,PUBLISHED,2011,EUR,ALB,MONTHS1-59,BTSX,,0.5,0.50676,,,
MORT_300,CH6,PUBLISHED,2003,EUR,ALB,MONTHS1-59,BTSX,,0,0.02181,,,
MORT_300,CH6,PUBLISHED,2002,EUR,ALB,MONTHS1-59,BTSX,,0,0.00954,,,
MORT_300,CH6,PUBLISHED,2003,EUR,ALB,YEARS0-4,BTSX,,0,0.01181,,,
MORT_300,CH6,PUBLISHED,2002,EUR,ALB,YEARS0-4,BTSX,,0,0.00512,,,
MORT_300,CH6,PUBLISHED,2005,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EUR,ALB,MONTHS1-59,BTSX,,0.2,0.1983,,,
MORT_300,CH6,PUBLISHED,2005,EUR,ALB,YEARS0-4,BTSX,,0,0.02892,,,
