iso_code,year,rateofoutofschoolMF
MNG,1998,11.18672
MNG,1999,9.28924
MNG,2000,7.13915
MNG,2001,5.7859
MNG,2002,6.86462
MNG,2003,14.03533
MNG,2004,7.16209
MNG,2005,7.5673
MNG,2006,2.51282
MNG,2007,2.2603
MNG,2008,1.83558
MNG,2009,3.53712
MNG,2010,2.35707
MNG,2011,1.95988
MNG,2012,2.4228
MNG,2013,4.70942
MNG,2014,4.38134
BRN,1977,10.32437
BRN,1978,9.43568
BRN,1979,18.35364
BRN,1980,17.63909
BRN,1981,20.89954
BRN,1982,22.40733
BRN,1983,21.42834
BRN,1984,21.18123
BRN,1986,19.58162
BRN,1991,8.53882
BRN,1992,6.4243
BRN,1993,3.70141
BRN,1994,3.75661
BRN,1995,1.19547
PER,1970,23.52325
PER,1973,19.82058
PER,1980,14.42502
PER,1981,9.07949
PER,1982,8.28725
PER,1985,4.57456
PER,1988,9.05312
PER,1993,6.2685
PER,1995,11.45727
PER,1996,11.95813
PER,1997,12.49168
PER,1998,0.21813
PER,1999,0.03368
PER,2000,0.04672
PER,2001,0.25435
PER,2002,0.28693
PER,2003,0.4631
PER,2004,0.88254
PER,2005,1.05709
PER,2006,1.07718
PER,2007,1.11868
PER,2008,1.21979
PER,2009,1.11957
PER,2010,1.12241
PER,2011,1.42161
PER,2012,6.94305
PER,2013,4.22253
PER,2014,4.69144
ABW,1999,1.99827
ABW,2000,1.74641
ABW,2001,3.38429
ABW,2002,4.60237
ABW,2003,6.02516
ABW,2004,5.22364
ABW,2005,2.02108
ABW,2006,1.35065
ABW,2007,1.07319
ABW,2008,0.88568
ABW,2009,4.00458
ABW,2010,1.07954
OMN,1973,86.68923
OMN,1974,81.11833
OMN,1975,73.71037
OMN,1976,72.7526
OMN,1978,65.22146
OMN,1979,62.19248
OMN,1981,57.12034
OMN,1982,54.51134
OMN,1983,51.44972
OMN,1984,45.03849
OMN,1985,42.625
OMN,1986,36.77041
OMN,1987,34.54165
OMN,1988,35.20183
OMN,1989,34.06805
OMN,1990,32.86462
OMN,1991,31.76613
OMN,1992,30.43195
OMN,1993,27.09491
OMN,1994,25.8599
OMN,1995,24.39531
OMN,1996,21.72685
OMN,1997,20.79893
OMN,1998,18.41807
OMN,1999,16.37282
OMN,2000,15.25037
OMN,2001,14.02785
OMN,2002,14.49553
OMN,2003,16.92064
OMN,2009,3.47536
OMN,2011,2.99552
OMN,2012,2.26183
OMN,2013,1.90876
OMN,2014,2.6999
RUS,1994,3.202
RUS,1995,6.74981
RUS,2006,7.17904
RUS,2007,6.44578
RUS,2008,5.21683
RUS,2009,3.77262
RUS,2011,2.73319
RUS,2012,2.67323
RUS,2013,2.49393
AUS,1971,3.79891
AUS,1973,5.2555
AUS,1974,5.94638
AUS,1975,3.28383
AUS,1976,2.33729
AUS,1977,0.03733
AUS,1978,0.0282
AUS,1979,0.01574
AUS,1980,0.0468
AUS,1981,0.56099
AUS,1982,1.62823
AUS,1983,2.56693
AUS,1984,4.31942
AUS,1985,4.22175
AUS,1986,3.51413
AUS,1987,2.93839
AUS,1988,2.25273
AUS,1989,2.13969
AUS,1990,2.54151
AUS,1991,3.13009
AUS,1992,3.35938
AUS,1993,3.76573
AUS,1994,4.05557
AUS,1995,5.47156
AUS,1996,5.05132
AUS,1997,5.44295
AUS,1998,5.48669
AUS,1999,5.82897
AUS,2000,5.87552
AUS,2001,5.9958
AUS,2002,5.92198
AUS,2003,5.35597
AUS,2004,4.98408
AUS,2005,4.51045
AUS,2006,4.17917
AUS,2007,3.40164
AUS,2008,3.28014
AUS,2009,3.1602
AUS,2010,2.89435
AUS,2011,2.23424
AUS,2012,2.34474
AUS,2013,2.54961
FIN,1972,18.77425
FIN,1979,2.85858
FIN,1993,1.10392
FIN,1994,1.21933
FIN,1995,1.54308
FIN,1996,1.49336
FIN,1997,1.15129
FIN,1998,0.38716
FIN,1999,0.16999
FIN,2000,0.26899
FIN,2001,0.24437
FIN,2002,0.47136
FIN,2003,1.18054
FIN,2004,2.10851
FIN,2005,2.51164
FIN,2006,3.07303
FIN,2007,2.61635
FIN,2008,2.31773
FIN,2009,2.27426
FIN,2010,2.04105
FIN,2011,1.74205
FIN,2012,0.82501
FIN,2013,0.41149
YEM,1999,43.74796
YEM,2001,35.34149
YEM,2003,29.25277
YEM,2004,26.30833
YEM,2005,24.15768
YEM,2008,23.79158
YEM,2010,18.65714
YEM,2012,15.08777
YEM,2013,14.67203
DOM,1972,25.72293
DOM,1999,16.10546
DOM,2000,15.16611
DOM,2002,9.42477
DOM,2003,12.46973
DOM,2004,17.51884
DOM,2005,15.88739
DOM,2006,17.42785
DOM,2007,11.28558
DOM,2008,14.83427
DOM,2009,5.0575
DOM,2010,7.84768
DOM,2011,8.77461
DOM,2012,10.68188
DOM,2013,11.89455
DOM,2014,14.20332
LBY,1971,20.73535
LBY,1972,12.76979
LBY,1973,8.92806
LBY,1974,6.65895
LBY,1975,6.14132
LBY,1976,4.60291
LBY,1977,4.07114
LBY,1978,5.83516
LBY,1980,3.12684
LBY,1981,2.57198
LBY,1983,1.93905
KGZ,1996,8.00515
KGZ,1999,6.93583
KGZ,2000,7.59438
KGZ,2001,6.94078
KGZ,2002,7.09388
KGZ,2003,7.47613
KGZ,2004,3.07646
KGZ,2005,5.52928
KGZ,2006,4.4488
KGZ,2007,5.58218
KGZ,2008,6.22464
KGZ,2009,6.95449
KGZ,2010,6.24596
KGZ,2011,6.28511
KGZ,2012,2.73369
KGZ,2013,1.65135
KGZ,2014,2.01856
CUB,1972,7.04167
CUB,1973,5.49295
CUB,1974,4.58513
CUB,1979,1.6531
CUB,1980,2.38949
CUB,1981,4.58295
CUB,1982,5.65822
CUB,1983,5.55334
CUB,1984,7.03184
CUB,1985,8.75905
CUB,1986,8.46176
CUB,1987,6.93208
CUB,1988,7.15279
CUB,1989,7.07248
CUB,1990,7.50701
CUB,1991,7.91305
CUB,1992,5.74104
CUB,1993,4.93591
CUB,1994,2.64994
CUB,1995,2.7558
CUB,1996,0.78362
CUB,1997,0.99609
CUB,1998,1.23468
CUB,1999,1.06636
CUB,2000,1.72123
CUB,2001,2.43067
CUB,2002,2.81223
CUB,2003,4.74916
CUB,2004,4.90609
CUB,2005,5.00323
CUB,2006,4.82724
CUB,2007,2.57693
CUB,2008,1.82348
CUB,2009,0.1878
CUB,2010,0.21351
CUB,2011,1.32564
CUB,2012,2.95857
CUB,2013,3.57772
CUB,2014,6.84346
CHN,1987,5.51251
CHN,1988,3.72723
CHN,1989,3.50658
CHN,1990,3.15207
CHN,1991,2.86862
CHN,1992,2.80819
CHN,1993,4.09155
CHN,1994,5.8104
CHN,1995,7.69782
CHN,1996,9.08705
CHN,1997,9.81188
MLI,1971,82.98522
MLI,1972,82.30221
MLI,1973,81.93108
MLI,1974,79.45759
MLI,1977,79.32832
MLI,1999,56.25278
MLI,2002,48.79859
MLI,2003,48.85159
MLI,2004,48.87152
MLI,2005,43.8864
MLI,2006,42.56494
MLI,2007,40.41416
MLI,2009,33.22372
MLI,2010,32.0506
MLI,2011,30.92454
MLI,2012,32.99262
MLI,2013,37.34126
MLI,2014,36.43321
BLR,1995,12.16749
BLR,2001,3.45986
BLR,2002,6.46947
BLR,2003,6.34802
BLR,2004,7.87298
BLR,2005,9.84323
BLR,2006,9.82576
BLR,2007,9.96854
BLR,2009,8.04495
BLR,2010,8.59754
BLR,2011,8.98193
BLR,2012,5.81933
BLR,2013,6.85789
BLR,2014,5.93879
NER,1973,89.37262
NER,1974,88.80594
