GHO,GBDCHILDCAUSES,PUBLISHSTATE,year,region,code,agegroup,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH5,PUBLISHED,2002,WPR,FJI,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,WPR,VNM,MONTHS1-59,BTSX,,0,0.01219,,,
MORT_300,CH5,PUBLISHED,2008,,,MONTHS1-59,BTSX,REG7_AFR,0,0.0132,,,
MORT_300,CH5,PUBLISHED,2002,WPR,JPN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,AFR,COM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,WPR,MHL,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,EUR,ITA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,AFR,GNB,MONTHS1-59,BTSX,,0,0.01828,,,
MORT_300,CH5,PUBLISHED,2008,AFR,MOZ,MONTHS1-59,BTSX,,0,0.01293,,,
MORT_300,CH5,PUBLISHED,2004,AMR,BLZ,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,EUR,CHE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,,,MONTHS1-59,BTSX,REG6_EUR,0,0.00022,,,
MORT_300,CH5,PUBLISHED,2009,,,MONTHS1-59,BTSX,MDG_SSA,0,0.01288,,,
MORT_300,CH5,PUBLISHED,2005,WPR,FSM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,,,MONTHS1-59,BTSX,WBDCP_SSA,0,0.01334,,,
MORT_300,CH5,PUBLISHED,2005,AFR,ERI,MONTHS1-59,BTSX,,0,0.00322,,,
MORT_300,CH5,PUBLISHED,2009,EMR,JOR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,,,MONTHS1-59,BTSX,WBDCP_HIINCOME,0,0,,,
MORT_300,CH5,PUBLISHED,2005,EUR,SWE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,EUR,UKR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2012,,,MONTHS1-59,BTSX,REG7_AMR,0,0.00735,,,
MORT_300,CH5,PUBLISHED,2009,,,MONTHS1-59,BTSX,UNICEF_WCARO,0,0.01375,,,
MORT_300,CH5,PUBLISHED,2000,EUR,KAZ,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2003,AMR,GUY,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,AFR,GAB,MONTHS1-59,BTSX,,0.1,0.05208,,,
MORT_300,CH5,PUBLISHED,2013,SEAR,IDN,MONTHS1-59,BTSX,,0,0.02508,,,
MORT_300,CH5,PUBLISHED,2007,,,MONTHS1-59,BTSX,UNICEF_ESARO,0,0.01284,,,
MORT_300,CH5,PUBLISHED,2012,,,MONTHS1-59,BTSX,MDG_SOA,0,0.02141,,,
MORT_300,CH5,PUBLISHED,2013,,,MONTHS1-59,BTSX,REG6_SEAR,0,0.02709,,,
MORT_300,CH5,PUBLISHED,2013,EUR,SVN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,AFR,BFA,MONTHS1-59,BTSX,,0,0.00953,,,
MORT_300,CH5,PUBLISHED,2006,EUR,GEO,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,AMR,DMA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,,,MONTHS1-59,BTSX,WBINC_UMINC,0,0.01298,,,
MORT_300,CH5,PUBLISHED,2001,WPR,KHM,MONTHS1-59,BTSX,,0,0.014,,,
MORT_300,CH5,PUBLISHED,2012,EMR,EGY,MONTHS1-59,BTSX,,0,0.00415,,,
MORT_300,CH5,PUBLISHED,2001,EUR,EST,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,EUR,TKM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,EUR,ROU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,AFR,MDG,MONTHS1-59,BTSX,,0,0.01444,,,
MORT_300,CH5,PUBLISHED,2011,,,MONTHS1-59,BTSX,WBINC_LMINC,0,0.01625,,,
MORT_300,CH5,PUBLISHED,2010,,,MONTHS1-59,BTSX,REG6_WPR,0,0.01845,,,
MORT_300,CH5,PUBLISHED,2000,AMR,COL,MONTHS1-59,BTSX,,0,0.01334,,,
MORT_300,CH5,PUBLISHED,2008,EUR,CZE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,,,MONTHS1-59,BTSX,WBDCP_SASIA,0,0.0268,,,
MORT_300,CH5,PUBLISHED,2003,EUR,RUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,AFR,SSD,MONTHS1-59,BTSX,,0,0.0024,,,
MORT_300,CH5,PUBLISHED,2010,AMR,VEN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,,,MONTHS1-59,BTSX,WBDCP_MIDEASTNAF,0,0.01993,,,
MORT_300,CH5,PUBLISHED,2003,AFR,COG,MONTHS1-59,BTSX,,0,0.01337,,,
MORT_300,CH5,PUBLISHED,2009,AFR,SWZ,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,AMR,BRB,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,,,MONTHS1-59,BTSX,UNICEF_IND,0,0,,,
MORT_300,CH5,PUBLISHED,2011,WPR,SLB,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,AFR,MDG,MONTHS1-59,BTSX,,0,0.01152,,,
MORT_300,CH5,PUBLISHED,2007,AFR,MOZ,MONTHS1-59,BTSX,,0,0.01386,,,
MORT_300,CH5,PUBLISHED,2009,AFR,BFA,MONTHS1-59,BTSX,,0,0.00894,,,
MORT_300,CH5,PUBLISHED,2000,WPR,KHM,MONTHS1-59,BTSX,,0,0.01498,,,
MORT_300,CH5,PUBLISHED,2011,AFR,ZMB,MONTHS1-59,BTSX,,0,0.01011,,,
MORT_300,CH5,PUBLISHED,2004,EUR,SWE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,,,MONTHS1-59,BTSX,REG7_AMR,0,0.01308,,,
MORT_300,CH5,PUBLISHED,2004,AFR,MLI,MONTHS1-59,BTSX,,0,0.00859,,,
MORT_300,CH5,PUBLISHED,2005,AFR,BEN,MONTHS1-59,BTSX,,0,0.01194,,,
MORT_300,CH5,PUBLISHED,2007,EUR,GRC,MONTHS1-59,BTSX,,0,0,,,
