region,code,country,diptheria2014,diptheria2013,diptheria2012,diptheria2011,diptheria2010,diptheria2009,diptheria2008,diptheria2007,diptheria2006,diptheria2005,diptheria2004,diptheria2003,diptheria2002,diptheria2001,diptheria2000,diptheria1999,diptheria1998,diptheria1997,diptheria1996,diptheria1995,diptheria1994,diptheria1993,diptheria1992,diptheria1991,diptheria1990,diptheria1989,diptheria1988,diptheria1987,diptheria1986,diptheria1985,diptheria1984,diptheria1983,diptheria1982,diptheria1981,diptheria1980
EMR,AFG,Afghanistan,0,0,0,0,0,0,0,104,53,179,26,79,854,,84,297,84,,,,,,,21,368,286,661,1272,1053,3179,555,1940,1563,1464,1939
EUR,ALB,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,4,14,18,48,23,17,5,3,4,4,3,3,1,2,6,3
AFR,DZA,Algeria,0,0,0,1,0,0,0,0,3,7,8,7,0,3,,17,57,30,107,,951,264,16,9,30,4,5,35,30,66,108,132,71,114,116
EUR,AND,Andorra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,,20,15,0,,,69,4,,0,0,16,0,0,0,0,0,,,,,23,,40,64,105,38,30,3,9,4,11,32,28,0
AMR,ATG,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,ARG,Argentina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,3,3,4,2,31,20,8,10,14,10,13,22,36,79,86
EUR,ARM,Armenia,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,3,5,12,11,29,36,1,0,0,7,,,,,,,,,,
WPR,AUS,Australia,2,1,0,4,0,0,0,0,,0,0,0,0,1,0,0,0,0,,0,,39,14,8,7,1,61,32,44,17,0,1,2,18,1
EUR,AUT,Austria,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
EUR,AZE,Azerbaijan,0,0,0,0,0,,3,4,0,0,0,0,0,0,7,19,20,38,146,883,841,170,72,66,4,,,,,,,,,,
AMR,BHS,Bahamas (the),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMR,BHR,Bahrain,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SEAR,BGD,Bangladesh,13,2,16,11,27,23,43,86,34,125,117,78,73,122,21,58,123,96,164,282,295,497,855,801,711,1229,613,24,1124,204,1209,3520,1860,1342,1559
AMR,BRB,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
EUR,BLR,Belarus,0,0,0,0,1,3,3,5,6,11,15,6,7,25,52,38,36,96,179,322,230,120,66,26,22,,,,,,,,,,
EUR,BEL,Belgium,0,1,1,0,0,0,0,0,0,0,0,1,1,0,,,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1
AMR,BLZ,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0
AFR,BEN,Benin,0,0,0,,,,,,,,,,0,,,,,,0,,,,,30,,59,14,47,6,16,2,2,3,1,127
SEAR,BTN,Bhutan,0,0,0,0,0,0,0,0,0,,0,0,,1,1,142,0,0,0,0,0,0,4,1,,40,1,3,7,4,19,4,0,1,5
