year,country,AGEGROUP,SEX,Display Value
1990,NRU,AGE65-69,FMLE,0.076
2013,UKR,AGE80-84,FMLE,0.400008
1990,VNM,AGE65-69,MLE,0.160041
1990,KNA,AGE15-19,FMLE,0.002738
2000,KGZ,AGE1-4,FMLE,0.006942
1990,MKD,AGE70-74,MLE,0.223578
2000,CHE,AGE75-79,MLE,0.226234
2013,KGZ,AGE10-14,FMLE,0.001338
2012,,AGE30-34,BTSX,0.004621
2000,CUB,AGE100PLUS,FMLE,1
2000,AND,AGE50-54,MLE,0.028706
1990,SGP,AGE90-94,FMLE,0.60719
1990,MDG,AGE90-94,MLE,0.831163
2012,SAU,AGE100PLUS,FMLE,1
2000,PRT,AGE45-49,MLE,0.024225
1990,SLB,AGE95-99,FMLE,0.893625
2013,GRD,AGE40-44,MLE,0.022437
2000,USA,AGE15-19,MLE,0.004658
2000,TON,AGE95-99,FMLE,0.925
2000,,AGE50-54,MLE,0.037166
2000,CMR,AGE75-79,MLE,0.396245
2000,GNQ,AGELT1,FMLE,0.091195
1990,HRV,AGE65-69,FMLE,0.089622
2000,LKA,AGE100PLUS,MLE,1
1990,LVA,AGE15-19,FMLE,0.003
1990,VNM,AGE50-54,FMLE,0.019
2013,JPN,AGE30-34,FMLE,0.002035
1990,IRQ,AGE35-39,MLE,0.01
2013,KGZ,AGE70-74,MLE,0.274821
2013,TCD,AGE50-54,FMLE,0.072982
2000,IRQ,AGE80-84,MLE,0.510828
1990,MLI,AGE35-39,FMLE,0.041278
2000,ECU,AGELT1,FMLE,0.024
2000,MRT,AGELT1,FMLE,0.066
2013,GHA,AGE90-94,FMLE,0.92976
1990,LBR,AGE10-14,FMLE,0.02005
2000,STP,AGE50-54,FMLE,0.039338
2000,LVA,AGE85-89,MLE,0.580272
2000,MDV,AGE5-9,MLE,0.003
1990,SEN,AGE50-54,FMLE,0.042
1990,ZWE,AGE65-69,MLE,0.15025
2013,TKM,AGE5-9,MLE,0.003
2000,PLW,AGE75-79,FMLE,0.329572
1990,SEN,AGE65-69,FMLE,0.152789
2013,LBN,AGE55-59,FMLE,0.0163
2012,SLB,AGE50-54,MLE,0.047489
2000,,AGE5-9,BTSX,0.011152
2012,JAM,AGE80-84,MLE,0.421599
2000,KAZ,AGE100PLUS,MLE,1
2013,,AGE20-24,FMLE,0.001837
1990,BWA,AGE45-49,MLE,0.039368
1990,BGR,AGE90-94,MLE,0.780662
2013,,AGE25-29,MLE,0.010236
2000,TCD,AGE75-79,FMLE,0.420235
1990,ALB,AGE95-99,FMLE,0.98
2012,ECU,AGE85-89,FMLE,0.480834
1990,PER,AGE60-64,FMLE,0.055105
2012,,AGELT1,MLE,0.014669
1990,CHL,AGE35-39,FMLE,0.00564
2000,MEX,AGE40-44,FMLE,0.009215
1990,ERI,AGE75-79,MLE,0.567299
2012,AZE,AGE35-39,MLE,0.01072
1990,,AGE30-34,MLE,0.015597
2013,NRU,AGE60-64,FMLE,0.026211
2013,MLI,AGE65-69,MLE,0.166076
1990,LTU,AGE25-29,FMLE,0.003
2000,CMR,AGE50-54,FMLE,0.070412
2012,UZB,AGE60-64,MLE,0.133112
1990,BRA,AGE70-74,MLE,0.245213
2000,USA,AGE70-74,FMLE,0.110938
2012,SEN,AGE20-24,MLE,0.014908
2012,ZWE,AGE50-54,FMLE,0.052209
2000,THA,AGE80-84,MLE,0.43
2012,CAF,AGE1-4,FMLE,0.04194
2012,NAM,AGE45-49,FMLE,0.030051
2013,TGO,AGE90-94,FMLE,0.935499
2013,JAM,AGE25-29,FMLE,0.007144
2013,IRL,AGE1-4,MLE,0.000728
1990,MMR,AGE90-94,FMLE,0.807862
2000,SSD,AGE10-14,FMLE,0.019644
2013,MEX,AGE85-89,FMLE,0.415546
2012,JOR,AGE20-24,MLE,0.004771
1990,MNG,AGE100PLUS,FMLE,1
2000,BRB,AGE20-24,FMLE,0.003297
1990,NPL,AGE75-79,MLE,0.43375
2013,MNE,AGE95-99,MLE,0.787766
1990,AGO,AGE5-9,MLE,0.061
1990,CAN,AGE90-94,MLE,0.69153
2012,LTU,AGE90-94,FMLE,0.629654
2000,JPN,AGE45-49,MLE,0.014729
1990,LSO,AGE15-19,FMLE,0.012968
2000,LTU,AGELT1,FMLE,0.009
2012,ECU,AGE5-9,FMLE,0.001819
2000,POL,AGE75-79,FMLE,0.215
1990,LBR,AGE35-39,MLE,0.072396
2013,,AGE5-9,MLE,0.002674
2000,CIV,AGE70-74,MLE,0.287032
2013,CAN,AGE95-99,MLE,0.777258
1990,WSM,AGELT1,MLE,0.027715
2000,USA,AGE50-54,MLE,0.031639
2013,SAU,AGE95-99,FMLE,0.847048
2000,HUN,AGE85-89,MLE,0.602
1990,LBN,AGE75-79,FMLE,0.315701
2012,FIN,AGE90-94,MLE,0.703146
2000,SSD,AGE45-49,FMLE,0.058301
2000,BGR,AGE25-29,FMLE,0.002479
2000,COM,AGE40-44,FMLE,0.031315
2013,CAN,AGE25-29,MLE,0.003505
2012,DEU,AGE80-84,FMLE,0.239735
2012,KWT,AGE1-4,FMLE,0.001417
1990,MLT,AGELT1,MLE,0.010895
2012,NER,AGE30-34,MLE,0.019158
2013,ECU,AGE1-4,MLE,0.003674
2000,KGZ,AGE80-84,FMLE,0.496212
2000,SGP,AGE50-54,FMLE,0.013665
2000,LSO,AGE45-49,MLE,0.134192
2000,LSO,AGE80-84,MLE,0.475818
1990,HND,AGE50-54,MLE,0.048397
2012,KHM,AGE55-59,MLE,0.053324
1990,SSD,AGE5-9,FMLE,0.055
1990,,AGE65-69,FMLE,0.140573
2000,CPV,AGE25-29,MLE,0.010442
2013,SAU,AGE60-64,FMLE,0.053971
2012,PER,AGE60-64,FMLE,0.045676
1990,YEM,AGE70-74,MLE,0.294
1990,GBR,AGE75-79,FMLE,0.201922
2000,MKD,AGE95-99,FMLE,0.85614
2012,SGP,AGE55-59,FMLE,0.016345
2012,FIN,AGE55-59,MLE,0.038698
2013,ISL,AGE40-44,MLE,0.005557
2000,PNG,AGE45-49,FMLE,0.048044
2000,CMR,AGELT1,MLE,0.100099
1990,TTO,AGE35-39,MLE,0.01633
2012,RUS,AGE80-84,FMLE,0.398374
2000,ATG,AGE65-69,FMLE,0.09211
1990,BEL,AGELT1,MLE,0.009507
2000,BEL,AGE100PLUS,FMLE,1
2013,NIC,AGE1-4,MLE,0.004028
2000,KHM,AGE50-54,MLE,0.057997
2000,BRA,AGE95-99,FMLE,0.690195
2000,KHM,AGE85-89,MLE,0.46792
2000,MDV,AGELT1,MLE,0.04
2000,SSD,AGE60-64,MLE,0.142
2000,BRB,AGE80-84,MLE,0.401032
2012,,AGE65-69,BTSX,0.083175
1990,TZA,AGE70-74,MLE,0.283845
2000,HND,AGE40-44,FMLE,0.017625
1990,USA,AGE20-24,FMLE,0.002564
2013,MDG,AGE60-64,MLE,0.114479
2000,JPN,AGE100PLUS,FMLE,1
2012,ALB,AGE60-64,FMLE,0.04778
2000,BGR,AGE85-89,MLE,0.639094
2013,MWI,AGE35-39,FMLE,0.046185
1990,SWE,AGE50-54,MLE,0.024779
1990,TUN,AGE15-19,FMLE,0.003
2000,STP,AGELT1,MLE,0.062013
2012,IRL,AGE5-9,FMLE,0.000448
1990,KIR,AGE35-39,FMLE,0.020725
1990,AZE,AGE35-39,MLE,0.020573
1990,AGO,AGE70-74,FMLE,0.315166
2000,TJK,AGE80-84,FMLE,0.472379
2013,,AGE50-54,BTSX,0.043107
2013,PNG,AGE70-74,MLE,0.349913
2000,TJK,AGE45-49,FMLE,0.024503
2012,NER,AGE5-9,FMLE,0.016695
2000,ROU,AGE25-29,FMLE,0.002373
1990,DZA,AGE35-39,MLE,0.014217
2013,NIU,AGE55-59,FMLE,0.030071
2013,MDG,AGE95-99,MLE,0.854166
2012,YEM,AGE1-4,MLE,0.01427
2012,CZE,AGE75-79,FMLE,0.168643
1990,NPL,AGELT1,MLE,0.104
2013,CIV,AGE1-4,MLE,0.034066
1990,NAM,AGE15-19,MLE,0.011325
2012,LUX,AGE60-64,FMLE,0.031163
2013,QAT,AGE35-39,MLE,0.004121
2013,BGR,AGE1-4,FMLE,0.001434
2000,,AGE50-54,FMLE,0.025228
2000,MLT,AGE45-49,MLE,0.014152
2000,CIV,AGE45-49,FMLE,0.08854
2012,DMA,AGE55-59,MLE,0.070989
1990,DMA,AGE100PLUS,FMLE,1
2000,JAM,AGELT1,MLE,0.0224
2012,QAT,AGE5-9,FMLE,0.000428
2013,MLT,AGE90-94,MLE,0.597633
2000,BTN,AGE30-34,MLE,0.026149
2000,SSD,AGE75-79,FMLE,0.387
2013,CPV,AGE1-4,MLE,0.003511
2000,CZE,AGE50-54,MLE,0.04456
1990,DEU,AGE15-19,MLE,0.004087
2012,ATG,AGE25-29,FMLE,0.002888
2012,PAN,AGE20-24,FMLE,0.003447
1990,KWT,AGE35-39,FMLE,0.003593
1990,GHA,AGE20-24,MLE,0.024
2013,NIC,AGE55-59,FMLE,0.04003
2013,CPV,AGE90-94,FMLE,0.68798
2012,ARG,AGE80-84,MLE,0.400698
1990,ATG,AGE75-79,MLE,0.344847
1990,GMB,AGE40-44,MLE,0.045278
2000,CYP,AGE100PLUS,FMLE,1
2000,IRL,AGE70-74,MLE,0.205713
1990,FRA,AGE15-19,MLE,0.003936
2013,BGD,AGE1-4,MLE,0.007502
2000,,AGE25-29,BTSX,0.00831
2013,CIV,AGE35-39,MLE,0.056669
1990,JOR,AGE90-94,MLE,0.827631
2012,WSM,AGE25-29,FMLE,0.003198
2012,CAF,AGE25-29,MLE,0.036911
2012,GIN,AGE55-59,FMLE,0.069423
2000,ATG,AGE45-49,MLE,0.025342
2013,BTN,AGE40-44,MLE,0.028578
2012,URY,AGE5-9,MLE,0.001033
2000,DJI,AGELT1,FMLE,0.078842
2013,MWI,AGE95-99,MLE,0.98
2000,QAT,AGE25-29,MLE,0.003469
2012,TJK,AGE65-69,MLE,0.17819
2013,MLT,AGE30-34,FMLE,0.000878
2013,NIU,AGE35-39,MLE,0.009788
2013,CZE,AGE35-39,FMLE,0.003017
2012,MMR,AGE20-24,FMLE,0.009283
2000,PAN,AGELT1,MLE,0.024198
1990,PAN,AGE70-74,MLE,0.174309
2012,LBN,AGE5-9,FMLE,0.000797
1990,LTU,AGE60-64,MLE,0.131
2012,KWT,AGE80-84,FMLE,0.409055
1990,,AGE75-79,FMLE,0.195815
2000,BRB,AGE65-69,FMLE,0.066262
2012,RUS,AGE1-4,FMLE,0.001304
1990,ATG,AGE40-44,MLE,0.028054
2000,BGD,AGE70-74,MLE,0.236616
2012,NIC,AGE75-79,MLE,0.248896
2000,URY,AGE45-49,MLE,0.02697
2000,HTI,AGE45-49,FMLE,0.048031
2000,BRN,AGE80-84,MLE,0.404717
2013,,AGE90-94,MLE,0.746205
1990,URY,AGELT1,MLE,0.023
1990,MWI,AGE65-69,FMLE,0.171245
2012,ATG,AGE5-9,MLE,0.001172
1990,SWE,AGE70-74,FMLE,0.099181
2000,NRU,AGE30-34,MLE,0.003
2000,MHL,AGE70-74,MLE,0.26
2013,BHR,AGE1-4,FMLE,0.001221
1990,YEM,AGE10-14,FMLE,0.008194
2012,BEL,AGE25-29,FMLE,0.00118
2012,,AGE35-39,MLE,0.014731
2013,QAT,AGE70-74,MLE,0.127331
2013,DZA,AGE40-44,MLE,0.014817
2013,SLE,AGE50-54,FMLE,0.07892
2012,LTU,AGE20-24,FMLE,0.001529
2013,LSO,AGE55-59,MLE,0.127427
1990,SWE,AGE35-39,FMLE,0.003868
1990,MMR,AGE70-74,MLE,0.298859
1990,IRN,AGE65-69,FMLE,0.167
1990,CZE,AGE65-69,FMLE,0.107209
2013,MNE,AGE15-19,MLE,0.003083
2000,,AGE95-99,BTSX,0.812647
2013,CZE,AGE95-99,MLE,0.851458
2012,,AGE80-84,BTSX,0.291757
2013,QAT,AGE1-4,MLE,0.001091
1990,NAM,AGE50-54,MLE,0.059609
1990,ATG,AGE15-19,FMLE,0.004264
2000,QAT,AGE45-49,FMLE,0.00811
2000,MLT,AGE80-84,MLE,0.386522
2013,,AGE40-44,BTSX,0.01082
2000,BTN,AGELT1,MLE,0.064717
2013,GBR,AGE90-94,FMLE,0.562874
1990,PHL,AGE10-14,MLE,0.004775
1990,BDI,AGE5-9,FMLE,0.037101
2013,COM,AGE30-34,MLE,0.01957
2000,ARE,AGE100PLUS,FMLE,1
2012,SYC,AGELT1,FMLE,0.009867
1990,CRI,AGE45-49,FMLE,0.012509
2012,KOR,AGELT1,MLE,0.003498
2000,PLW,AGE20-24,MLE,0.010216
2013,,AGE1-4,BTSX,0.002308
1990,SSD,AGE10-14,FMLE,0.027
2013,LAO,AGE5-9,MLE,0.004484
1990,SLB,AGE50-54,FMLE,0.058584
2000,CAN,AGE15-19,MLE,0.003341
2012,AGO,AGE1-4,FMLE,0.071143
2013,SSD,AGE90-94,FMLE,0.822011
1990,SOM,AGE10-14,MLE,0.028123
2012,DZA,AGE45-49,MLE,0.02408
2000,BRN,AGE100PLUS,FMLE,1
1990,POL,AGE45-49,FMLE,0.016298
2000,SAU,AGE50-54,FMLE,0.021772
2013,ROU,AGE1-4,FMLE,0.001311
2013,BWA,AGE35-39,FMLE,0.037544
2000,TGO,AGE10-14,FMLE,0.013972
1990,NAM,AGE95-99,MLE,0.850964
2012,VUT,AGE20-24,FMLE,0.003925
2013,SLV,AGE85-89,FMLE,0.37637
2013,LSO,AGE90-94,MLE,0.73498
2012,FRA,AGE80-84,FMLE,0.181271
2000,MLI,AGE55-59,MLE,0.101604
1990,SEN,AGE10-14,MLE,0.008456
1990,BGD,AGELT1,FMLE,0.0927
2012,TUR,AGE25-29,FMLE,0.004499
1990,FJI,AGE75-79,FMLE,0.394621
1990,,AGE75-79,FMLE,0.36541
1990,UGA,AGE95-99,FMLE,0.916539
2013,JOR,AGE35-39,FMLE,0.006394
2012,AZE,AGE20-24,FMLE,0.002301
2013,URY,AGE55-59,MLE,0.051777
2000,SAU,AGELT1,MLE,0.020499
1990,DEU,AGE35-39,FMLE,0.005165
1990,SOM,AGE65-69,FMLE,0.190788
1990,MDV,AGE100PLUS,MLE,1
2013,KOR,AGE55-59,FMLE,0.01103
1990,PER,AGE75-79,MLE,0.236174
2013,PNG,AGE90-94,FMLE,0.733198
2012,COG,AGE75-79,FMLE,0.32132
2000,GMB,AGE100PLUS,FMLE,1
1990,CUB,AGELT1,MLE,0.011904
1990,LTU,AGE10-14,FMLE,0.001349
1990,SVK,AGE95-99,FMLE,0.88258
2000,,AGELT1,FMLE,0.078527
1990,BWA,AGE100PLUS,FMLE,1
2013,JPN,AGE90-94,MLE,0.602479
2012,KWT,AGE45-49,FMLE,0.004842
2013,TUN,AGE90-94,FMLE,0.704483
2012,CAN,AGE75-79,FMLE,0.118586
1990,TTO,AGE45-49,FMLE,0.026316
2000,CHN,AGE50-54,MLE,0.033093
2012,,AGE85-89,BTSX,0.623062
1990,,AGE40-44,FMLE,0.011612
2013,SUR,AGE35-39,MLE,0.018096
1990,BRN,AGE50-54,FMLE,0.031889
2012,SYC,AGE55-59,MLE,0.079077
2000,PRY,AGE15-19,MLE,0.005791
1990,UZB,AGE70-74,MLE,0.263
2000,BDI,AGE70-74,MLE,0.300301
1990,AUT,AGE5-9,FMLE,0.000687
2013,IRQ,AGE30-34,FMLE,0.004998
2012,GBR,AGE30-34,MLE,0.004673
2012,VUT,AGE90-94,FMLE,0.78111
1990,FJI,AGE20-24,MLE,0.012443
2000,VNM,AGE80-84,MLE,0.397
2013,GNQ,AGE5-9,FMLE,0.027008
1990,SDN,AGE60-64,FMLE,0.101705
2012,HRV,AGE55-59,MLE,0.058732
2000,NIU,AGE45-49,FMLE,0.015557
2000,AGO,AGE75-79,MLE,0.446
2012,ATG,AGE85-89,MLE,0.430155
2012,MDA,AGE50-54,FMLE,0.026501
2013,PRT,AGE55-59,MLE,0.039007
2012,ERI,AGE5-9,MLE,0.006373
1990,IND,AGE20-24,FMLE,0.017416
2012,AFG,AGE35-39,MLE,0.026357
2012,AZE,AGE80-84,MLE,0.452676
1990,,AGE60-64,MLE,0.116074
2012,BRA,AGE1-4,MLE,0.001584
2013,BRB,AGELT1,FMLE,0.015243
2013,LSO,AGE30-34,FMLE,0.069719
2012,TON,AGELT1,FMLE,0.009836
2013,PNG,AGE35-39,MLE,0.024358
2000,VCT,AGE75-79,FMLE,0.232356
2000,GRC,AGE1-4,MLE,0.001016
1990,KGZ,AGE65-69,MLE,0.189278
2000,SVK,AGE45-49,MLE,0.03607
2013,GIN,AGE40-44,MLE,0.036577
2000,MHL,AGE80-84,MLE,0.53577
2000,CAN,AGE70-74,FMLE,0.090645
1990,JOR,AGE100PLUS,FMLE,1
2013,MCO,AGE40-44,FMLE,0.005542
2000,JOR,AGE15-19,MLE,0.004
2000,SYR,AGE20-24,MLE,0.004663
1990,CHE,AGE10-14,FMLE,0.000791
2012,STP,AGE100PLUS,FMLE,1
1990,ECU,AGE20-24,MLE,0.013976
2013,ZMB,AGE50-54,FMLE,0.056051
2012,TLS,AGE85-89,FMLE,0.662947
2013,WSM,AGE90-94,MLE,0.746966
2012,VUT,AGE35-39,MLE,0.009792
2000,SDN,AGE55-59,FMLE,0.064946
1990,SLB,AGE40-44,MLE,0.038505
2013,GHA,AGE35-39,MLE,0.026648
2012,UGA,AGE25-29,FMLE,0.032737
1990,ECU,AGE75-79,FMLE,0.233602
2013,TON,AGE1-4,FMLE,0.001534
1990,ERI,AGE5-9,MLE,0.020887
2013,NZL,AGE10-14,MLE,0.00079
2012,ERI,AGE50-54,MLE,0.079962
1990,NER,AGE100PLUS,MLE,1
2013,GNB,AGE60-64,MLE,0.141948
2000,MUS,AGE65-69,FMLE,0.108397
1990,DMA,AGE10-14,MLE,0.003586
2013,ROU,AGE15-19,MLE,0.003098
1990,SLE,AGE15-19,MLE,0.037976
1990,STP,AGE90-94,FMLE,0.768591
2013,AND,AGE1-4,FMLE,0
1990,SMR,AGE75-79,FMLE,0.146143
2000,BDI,AGE10-14,FMLE,0.018298
1990,GMB,AGE95-99,FMLE,0.896229
2000,SWZ,AGE1-4,MLE,0.044964
2012,GUY,AGE55-59,MLE,0.140934
2000,MDV,AGE45-49,FMLE,0.020616
2012,TON,AGE10-14,MLE,0.002574
2013,MUS,AGE10-14,MLE,0.001008
2000,TKM,AGE35-39,MLE,0.029
2012,ISL,AGE80-84,MLE,0.296234
2000,TGO,AGE25-29,MLE,0.030494
2012,MNG,AGE30-34,FMLE,0.006137
2012,KEN,AGE75-79,MLE,0.347099
1990,TCD,AGE15-19,MLE,0.031606
2013,ARE,AGE30-34,FMLE,0.001517
2000,GHA,AGE90-94,MLE,0.938
2013,BHS,AGE35-39,FMLE,0.00988
1990,SMR,AGE20-24,MLE,0.005152
1990,ERI,AGE60-64,FMLE,0.183669
2012,ALB,AGE50-54,MLE,0.029706
2013,BGR,AGE95-99,MLE,0.823315
2000,TJK,AGE70-74,MLE,0.24473
2013,GEO,AGE95-99,FMLE,0.824115
2013,SSD,AGE80-84,MLE,0.565527
2000,VCT,AGE20-24,MLE,0.010428
2000,AFG,AGE95-99,FMLE,0.883031
1990,BDI,AGE20-24,MLE,0.035573
2013,BHS,AGE80-84,FMLE,0.306925
2000,LBN,AGE45-49,FMLE,0.013689
2013,COK,AGE5-9,FMLE,0.0004
1990,ECU,AGE20-24,FMLE,0.007
2000,IRN,AGE20-24,FMLE,0.007
2013,PLW,AGE85-89,FMLE,0.616256
2000,TKM,AGE30-34,MLE,0.02121
2012,UZB,AGE35-39,FMLE,0.008176
2000,MUS,AGE20-24,FMLE,0.001851
1990,KGZ,AGE5-9,FMLE,0.003
2012,OMN,AGE75-79,FMLE,0.219541
2013,TCD,AGE65-69,MLE,0.222288
1990,COK,AGE15-19,MLE,0.013539
1990,JOR,AGE45-49,MLE,0.026
1990,ISR,AGE50-54,FMLE,0.016811
2012,UGA,AGE85-89,MLE,0.719953
2000,FIN,AGE25-29,FMLE,0.002177
2000,,AGE25-29,BTSX,0.007855
1990,FIN,AGE10-14,MLE,0.001293
2013,,AGE40-44,FMLE,0.008855
1990,UGA,AGE40-44,MLE,0.086335
2012,TTO,AGE1-4,MLE,0.002423
2013,UZB,AGE30-34,MLE,0.010921
2012,SLB,AGE60-64,FMLE,0.082805
2012,BFA,AGE70-74,FMLE,0.282286
2013,MUS,AGE65-69,FMLE,0.090116
2012,HUN,AGE60-64,MLE,0.122851
2000,ECU,AGE10-14,FMLE,0.002827
2012,,AGE85-89,MLE,0.587941
1990,PAK,AGE50-54,MLE,0.048011
2000,JPN,AGE80-84,MLE,0.321072
2000,LTU,AGE15-19,MLE,0.007
2000,GEO,AGELT1,MLE,0.033617
2012,BRB,AGE5-9,MLE,0.000843
2000,BIH,AGELT1,FMLE,0.007816
2013,CMR,AGE60-64,FMLE,0.099801
2000,TUN,AGE25-29,MLE,0.006719
1990,AUS,AGE45-49,FMLE,0.009144
1990,MKD,AGE10-14,FMLE,0.001031
1990,EGY,AGE20-24,MLE,0.008705
2000,RUS,AGE45-49,FMLE,0.025
