GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_200,CH4,PUBLISHED,2000,EMR,AFG,YEARS0-4,BTSX,,1.5,1.53526,,,
MORT_300,CH4,PUBLISHED,2001,EMR,AFG,YEARS0-4,BTSX,,1.1,1.0902,,,
MORT_100,CH4,PUBLISHED,2002,EMR,AFG,MONTHS1-59,BTSX,,1487,1486.855,,,
MORT_200,CH4,PUBLISHED,2010,EMR,AFG,MONTHS1-59,BTSX,,1.2,1.17828,,,
MORT_200,CH4,PUBLISHED,2012,EMR,AFG,MONTHS1-59,BTSX,,1.1,1.14898,,,
MORT_200,CH4,PUBLISHED,2006,EMR,AFG,YEARS0-4,BTSX,,1.3,1.31494,,,
MORT_200,CH4,PUBLISHED,2007,EMR,AFG,YEARS0-4,BTSX,,1.3,1.27689,,,
MORT_300,CH4,PUBLISHED,2004,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.74237,,,
MORT_300,CH4,PUBLISHED,2012,EMR,AFG,YEARS0-4,BTSX,,1.2,1.19342,,,
MORT_100,CH4,PUBLISHED,2012,EMR,AFG,YEARS0-4,BTSX,,1243,1243.031,,,
MORT_200,CH4,PUBLISHED,2009,EMR,AFG,MONTHS1-59,BTSX,,1.2,1.20037,,,
MORT_300,CH4,PUBLISHED,2009,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13852,,,
MORT_300,CH4,PUBLISHED,2011,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.73395,,,
MORT_300,CH4,PUBLISHED,2003,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13948,,,
MORT_100,CH4,PUBLISHED,2005,EMR,AFG,YEARS0-4,BTSX,,1445,1445.188,,,
MORT_100,CH4,PUBLISHED,2000,EMR,AFG,DAYS0-27,BTSX,,64,64,,,
MORT_300,CH4,PUBLISHED,2001,EMR,AFG,MONTHS1-59,BTSX,,1.5,1.53391,,,
MORT_300,CH4,PUBLISHED,2005,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13293,,,
MORT_200,CH4,PUBLISHED,2004,EMR,AFG,MONTHS1-59,BTSX,,1.3,1.33612,,,
MORT_100,CH4,PUBLISHED,2006,EMR,AFG,YEARS0-4,BTSX,,1432,1431.681,,,
MORT_300,CH4,PUBLISHED,2006,EMR,AFG,YEARS0-4,BTSX,,1.1,1.13371,,,
MORT_200,CH4,PUBLISHED,2000,EMR,AFG,DAYS0-27,BTSX,,0.1,0.06268,,,
MORT_200,CH4,PUBLISHED,2001,EMR,AFG,YEARS0-4,BTSX,,1.5,1.49395,,,
MORT_300,CH4,PUBLISHED,2010,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.73935,,,
MORT_100,CH4,PUBLISHED,2003,EMR,AFG,MONTHS1-59,BTSX,,1484,1484.069,,,
MORT_100,CH4,PUBLISHED,2010,EMR,AFG,YEARS0-4,BTSX,,1324,1323.841,,,
MORT_200,CH4,PUBLISHED,2009,EMR,AFG,DAYS0-27,BTSX,,0.1,0.05347,,,
MORT_300,CH4,PUBLISHED,2004,EMR,AFG,YEARS0-4,BTSX,,1.2,1.17743,,,
MORT_300,CH4,PUBLISHED,2002,EMR,AFG,MONTHS1-59,BTSX,,1.6,1.64573,,,
MORT_100,CH4,PUBLISHED,2006,EMR,AFG,DAYS0-27,BTSX,,59,59,,,
