year,region,code,agegroup,Display Value,Numeric,Low,High,Comments
2004,AFR,MLI,MONTHS1-59,0,0.00859,,,
2005,AFR,BEN,MONTHS1-59,0,0.01194,,,
2007,EUR,GRC,MONTHS1-59,0,0,,,
2011,SEAR,PRK,MONTHS1-59,0,0.01953,,,
2002,AMR,USA,MONTHS1-59,0,0,,,
2011,EMR,MAR,MONTHS1-59,0,0.00215,,,
2013,AMR,BRA,MONTHS1-59,0,0.00154,,,
2007,AFR,ZAF,MONTHS1-59,0,0.01535,,,
2010,WPR,WSM,MONTHS1-59,0,0,,,
2002,AMR,BOL,MONTHS1-59,0,0.01677,,,
2007,AMR,SLV,MONTHS1-59,0,0,,,
2002,WPR,NZL,MONTHS1-59,0,0,,,
2005,EUR,MNE,MONTHS1-59,0,0,,,
2006,EUR,DEU,MONTHS1-59,0,0,,,
2007,EMR,OMN,MONTHS1-59,0,0,,,
2009,AMR,CAN,MONTHS1-59,0,0,,,
2010,WPR,MNG,MONTHS1-59,0,0,,,
2006,EMR,KWT,MONTHS1-59,0,0,,,
2005,,,MONTHS1-59,0,0.0085,,,
2003,WPR,PNG,MONTHS1-59,0,0.026,,,
2000,,,MONTHS1-59,0,0.0207,,,
2006,EUR,AUT,MONTHS1-59,0,0,,,
2011,EUR,TJK,MONTHS1-59,0,0,,,
2000,AMR,GRD,MONTHS1-59,0,0,,,
2001,AFR,SYC,MONTHS1-59,0,0,,,
2003,EUR,ESP,MONTHS1-59,0,0,,,
2006,AMR,COL,MONTHS1-59,0,0,,,
2007,,,MONTHS1-59,0,0.02168,,,
2011,EUR,AZE,MONTHS1-59,0,0,,,
2005,WPR,KIR,MONTHS1-59,0,0,,,
2011,WPR,FSM,MONTHS1-59,0,0,,,
2008,EUR,HUN,MONTHS1-59,0,0,,,
2002,AMR,PRY,MONTHS1-59,0,0,,,
2011,AMR,JAM,MONTHS1-59,0,0,,,
2001,AMR,HND,MONTHS1-59,0,0,,,
2009,AMR,USA,MONTHS1-59,0,0,,,
2001,AMR,NIC,MONTHS1-59,0,0,,,
2011,,,MONTHS1-59,0,0.00413,,,
2013,AMR,CRI,MONTHS1-59,0,0,,,
2006,EUR,BLR,MONTHS1-59,0,0,,,
2002,WPR,KOR,MONTHS1-59,0,0,,,
2013,EMR,KWT,MONTHS1-59,0,0,,,
2004,EUR,PRT,MONTHS1-59,0,0,,,
2008,AFR,TGO,MONTHS1-59,0,0.0079,,,
2000,EMR,EGY,MONTHS1-59,0,0.0064,,,
2013,AMR,NIC,MONTHS1-59,0,0,,,
2006,,,MONTHS1-59,0,0,,,
2007,SEAR,MMR,MONTHS1-59,0,0.0147,,,
2010,AMR,LCA,MONTHS1-59,0,0,,,
2006,AFR,BWA,MONTHS1-59,0,0,,,
2011,WPR,WSM,MONTHS1-59,0,0,,,
2010,EMR,SDN,MONTHS1-59,0,0.0083,,,
2012,EUR,KAZ,MONTHS1-59,0,0,,,
2006,EMR,SAU,MONTHS1-59,0,0,,,
2007,AFR,MDG,MONTHS1-59,0,0.01248,,,
2003,EUR,SRB,MONTHS1-59,0,0,,,
2013,WPR,PHL,MONTHS1-59,0,0.01452,,,
2002,EUR,CZE,MONTHS1-59,0,0,,,
2006,EMR,IRQ,MONTHS1-59,0,0.04902,,,
2006,AFR,NAM,MONTHS1-59,0,0,,,
2001,,,MONTHS1-59,0,0.01521,,,
2010,,,MONTHS1-59,0,0.00023,,,
2013,WPR,VUT,MONTHS1-59,0,0,,,
2010,,,MONTHS1-59,0,0.01883,,,
2009,AFR,MWI,MONTHS1-59,0,0.00555,,,
2012,EMR,MAR,MONTHS1-59,0,0.0023,,,
2009,EUR,SRB,MONTHS1-59,0,0,,,
2010,AFR,KEN,MONTHS1-59,0,0.01031,,,
2002,AMR,PER,MONTHS1-59,0,0,,,
2001,SEAR,MMR,MONTHS1-59,0,0.02251,,,
2004,AMR,LCA,MONTHS1-59,0,0,,,
2003,EUR,LUX,MONTHS1-59,0,0,,,
2009,AMR,GUY,MONTHS1-59,0,0,,,
2005,,,MONTHS1-59,0,0.00768,,,
2009,,,MONTHS1-59,0,0.02854,,,
2002,AMR,SLV,MONTHS1-59,0,0,,,
2004,WPR,CHN,MONTHS1-59,0,0.02798,,,
2005,AFR,MUS,MONTHS1-59,0,0,,,
2009,EUR,RUS,MONTHS1-59,0,0,,,
2001,EUR,CHE,MONTHS1-59,0,0,,,
2005,EUR,LTU,MONTHS1-59,0,0,,,
2011,AFR,MUS,MONTHS1-59,0,0,,,
2005,EUR,TJK,MONTHS1-59,0,0,,,
2013,AFR,CMR,MONTHS1-59,0,0.0091,,,
2009,EUR,NLD,MONTHS1-59,0,0,,,
2011,AMR,BRB,MONTHS1-59,0,0,,,
2008,,,MONTHS1-59,0,0.01319,,,
2005,AMR,DOM,MONTHS1-59,0,0.04651,,,
2000,AFR,ETH,MONTHS1-59,0,0.03008,,,
2010,EUR,FIN,MONTHS1-59,0,0,,,
2004,EUR,ISL,MONTHS1-59,0,0,,,
2000,EMR,SYR,MONTHS1-59,0.1,0.09513,,,
2011,WPR,TUV,MONTHS1-59,0,0,,,
2012,EMR,SAU,MONTHS1-59,0,0,,,
2003,AFR,BDI,MONTHS1-59,0,0.00423,,,
2009,WPR,PNG,MONTHS1-59,0,0.01796,,,
2011,WPR,NIU,MONTHS1-59,0,0,,,
2007,AFR,SSD,MONTHS1-59,0,0.00263,,,
2003,EUR,MLT,MONTHS1-59,0,0,,,
2010,EUR,PRT,MONTHS1-59,0,0,,,
2012,AMR,COL,MONTHS1-59,0,0.00915,,,
2000,EMR,KWT,MONTHS1-59,0,0,,,
2013,EUR,SMR,MONTHS1-59,0,0,,,
2002,AFR,CIV,MONTHS1-59,0,0.01501,,,
2005,EMR,BHR,MONTHS1-59,0,0,,,
2013,AFR,MRT,MONTHS1-59,0,0.01384,,,
2006,AMR,GRD,MONTHS1-59,0,0,,,
2005,EUR,AZE,MONTHS1-59,0,0,,,
2009,AFR,BDI,MONTHS1-59,0,0.00427,,,
2001,EUR,BGR,MONTHS1-59,0,0,,,
2004,AFR,NER,MONTHS1-59,0,0.01365,,,
2000,,,MONTHS1-59,0,0.01776,,,
2007,,,MONTHS1-59,0,0.02428,,,
2007,,,MONTHS1-59,0,0.01492,,,
2000,WPR,TON,MONTHS1-59,0,0,,,
2012,EMR,IRQ,MONTHS1-59,0,0.04745,,,
2006,EUR,MKD,MONTHS1-59,0,0,,,
2009,EMR,LBN,MONTHS1-59,0,0,,,
2001,EUR,POL,MONTHS1-59,0,0,,,
2010,,,MONTHS1-59,0,0,,,
2003,EUR,NLD,MONTHS1-59,0,0,,,
2010,AFR,GHA,MONTHS1-59,0,0.00689,,,
2005,WPR,NIU,MONTHS1-59,0,0,,,
2004,EUR,FIN,MONTHS1-59,0,0,,,
2007,AMR,ARG,MONTHS1-59,0,0,,,
2000,EUR,BLR,MONTHS1-59,0,0,,,
2004,EUR,MCO,MONTHS1-59,0,0,,,
2004,,,MONTHS1-59,0,0.02296,,,
2002,EUR,GRC,MONTHS1-59,0,0,,,
2010,EUR,ISL,MONTHS1-59,0,0,,,
2012,AMR,GRD,MONTHS1-59,0,0,,,
2005,,,MONTHS1-59,0,0.02564,,,
2011,EUR,LTU,MONTHS1-59,0,0,,,
2002,AFR,UGA,MONTHS1-59,0,0.0126,,,
2000,AFR,ZMB,MONTHS1-59,0,0.01353,,,
2013,EMR,IRN,MONTHS1-59,0,0.0084,,,
2011,EUR,SMR,MONTHS1-59,0,0,,,
2001,AFR,UGA,MONTHS1-59,0,0.01349,,,
2007,AFR,RWA,MONTHS1-59,0,0.00218,,,
2003,AMR,HTI,MONTHS1-59,0,0.03247,,,
2010,,,MONTHS1-59,0,0.01994,,,
2013,WPR,SGP,MONTHS1-59,0,0,,,
2003,WPR,BRN,MONTHS1-59,0,0,,,
2004,AMR,JAM,MONTHS1-59,0,0,,,
2012,,,MONTHS1-59,0,0.01323,,,
2000,AMR,CRI,MONTHS1-59,0,0,,,
2003,WPR,MNG,MONTHS1-59,0,0,,,
2006,,,MONTHS1-59,0,0.00197,,,
2000,AFR,CMR,MONTHS1-59,0,0.00695,,,
2001,,,MONTHS1-59,0,0.0188,,,
2010,SEAR,MDV,MONTHS1-59,0,0,,,
2002,EUR,MDA,MONTHS1-59,0,0,,,
2008,,,MONTHS1-59,0,0.02311,,,
2001,SEAR,BTN,MONTHS1-59,0,0.01733,,,
2011,,,MONTHS1-59,0,0.01203,,,
2011,EUR,BLR,MONTHS1-59,0,0,,,
2001,,,MONTHS1-59,0,0.01533,,,
2004,,,MONTHS1-59,0,0.01436,,,
2009,AFR,NER,MONTHS1-59,0,0.01688,,,
2005,EMR,LBY,MONTHS1-59,0,0,,,
2000,AFR,NAM,MONTHS1-59,0,0,,,
2012,AFR,ZMB,MONTHS1-59,0,0.01142,,,
2013,EUR,MKD,MONTHS1-59,0,0,,,
2004,AMR,HTI,MONTHS1-59,0,0.03013,,,
2007,AMR,BRA,MONTHS1-59,0,0,,,
2008,EUR,ISR,MONTHS1-59,0,0,,,
2008,SEAR,LKA,MONTHS1-59,0,0.01013,,,
2012,WPR,TON,MONTHS1-59,0,0,,,
2002,AFR,NGA,MONTHS1-59,0,0.01664,,,
2011,AMR,DOM,MONTHS1-59,0,0.02975,,,
2005,EMR,PAK,MONTHS1-59,0,0.01121,,,
2008,WPR,KOR,MONTHS1-59,0,0,,,
2008,,,MONTHS1-59,0,0.02368,,,
2013,AMR,GRD,MONTHS1-59,0,0,,,
2002,EUR,HUN,MONTHS1-59,0,0,,,
2005,SEAR,IND,MONTHS1-59,0,0.03206,,,
2003,,,MONTHS1-59,0,0.0004,,,
2009,EMR,ARE,MONTHS1-59,0,0,,,
2013,EUR,UKR,MONTHS1-59,0,0,,,
2012,AFR,MRT,MONTHS1-59,0,0.0134,,,
2010,,,MONTHS1-59,0,0.02492,,,
2009,EUR,MLT,MONTHS1-59,0,0,,,
2007,AMR,NIC,MONTHS1-59,0,0,,,
2007,EUR,BEL,MONTHS1-59,0,0,,,
2010,EUR,LTU,MONTHS1-59,0,0,,,
2006,EUR,FRA,MONTHS1-59,0,0,,,
2007,,,MONTHS1-59,0,0.02418,,,
2004,,,MONTHS1-59,0,0.01727,,,
2003,AMR,MEX,MONTHS1-59,0,0,,,
2010,AFR,ERI,MONTHS1-59,0,0.00285,,,
2001,EUR,NOR,MONTHS1-59,0,0,,,
2005,WPR,TON,MONTHS1-59,0,0,,,
2008,EUR,SRB,MONTHS1-59,0,0,,,
2000,AMR,ARG,MONTHS1-59,0,0,,,
2005,EMR,SYR,MONTHS1-59,0.1,0.09323,,,
2008,AFR,SEN,MONTHS1-59,0,0.00944,,,
2008,AFR,MWI,MONTHS1-59,0,0.00548,,,
2000,,,MONTHS1-59,0,0.00622,,,
2008,AFR,BDI,MONTHS1-59,0,0.00425,,,
2010,WPR,PLW,MONTHS1-59,0,0,,,
2004,EUR,TJK,MONTHS1-59,0,0,,,
2005,,,MONTHS1-59,0,0.02771,,,
2011,AMR,CHL,MONTHS1-59,0,0,,,
2006,WPR,VUT,MONTHS1-59,0,0,,,
2009,EUR,PRT,MONTHS1-59,0,0,,,
2003,AFR,TCD,MONTHS1-59,0,0.02484,,,
2012,,,MONTHS1-59,0,0.01277,,,
2008,AMR,DMA,MONTHS1-59,0,0,,,
2001,WPR,AUS,MONTHS1-59,0,0,,,
2009,AMR,PAN,MONTHS1-59,0,0,,,
2013,AFR,ZAF,MONTHS1-59,0,0.02277,,,
2007,SEAR,BTN,MONTHS1-59,0,0,,,
2011,EUR,MNE,MONTHS1-59,0,0,,,
2013,EUR,CHE,MONTHS1-59,0,0,,,
2003,AMR,ATG,MONTHS1-59,0,0,,,
2005,EMR,SAU,MONTHS1-59,0,0,,,
2011,AFR,BEN,MONTHS1-59,0,0.01214,,,
2012,AFR,CMR,MONTHS1-59,0,0.00874,,,
2004,WPR,WSM,MONTHS1-59,0,0,,,
2008,EMR,YEM,MONTHS1-59,0,0.03203,,,
2010,AMR,GTM,MONTHS1-59,0,0.01153,,,
2000,EUR,FRA,MONTHS1-59,0,0,,,
2007,AMR,PER,MONTHS1-59,0,0,,,
2009,WPR,CHN,MONTHS1-59,0,0.02329,,,
2002,EMR,ARE,MONTHS1-59,0,0,,,
2003,AMR,KNA,MONTHS1-59,0,0,,,
2007,EUR,CZE,MONTHS1-59,0,0,,,
2003,AMR,LCA,MONTHS1-59,0,0,,,
2007,AMR,ECU,MONTHS1-59,0,0,,,
2001,EUR,HUN,MONTHS1-59,0,0,,,
2006,EMR,OMN,MONTHS1-59,0,0,,,
2009,AFR,GNQ,MONTHS1-59,0,0,,,
2013,EMR,OMN,MONTHS1-59,0,0,,,
2013,EUR,UZB,MONTHS1-59,0,0,,,
2012,AMR,NIC,MONTHS1-59,0,0,,,
2002,EUR,MLT,MONTHS1-59,0,0,,,
2008,AFR,COG,MONTHS1-59,0,0.01676,,,
2001,,,MONTHS1-59,0,0.012,,,
2006,,,MONTHS1-59,0,0.00173,,,
2002,,,MONTHS1-59,0,0.03754,,,
2004,AMR,CUB,MONTHS1-59,0,0,,,
2002,,,MONTHS1-59,0,0.0355,,,
2010,,,MONTHS1-59,0,0.0223,,,
2006,AFR,LSO,MONTHS1-59,0,0,,,
2009,,,MONTHS1-59,0,0,,,
2003,EMR,LBN,MONTHS1-59,0,0,,,
2004,AMR,VEN,MONTHS1-59,0,0.04215,,,
2002,WPR,AUS,MONTHS1-59,0,0,,,
2010,WPR,NRU,MONTHS1-59,0,0,,,
2009,,,MONTHS1-59,0,0.00028,,,
2000,,,MONTHS1-59,0,0.00882,,,
2007,,,MONTHS1-59,0,0.00707,,,
2013,AFR,LSO,MONTHS1-59,0,0,,,
2000,EUR,GEO,MONTHS1-59,0,0,,,
2011,EUR,SWE,MONTHS1-59,0,0,,,
2008,AFR,UGA,MONTHS1-59,0,0.01364,,,
2013,EMR,EGY,MONTHS1-59,0,0.00424,,,
2010,AFR,COM,MONTHS1-59,0,0,,,
2002,,,MONTHS1-59,0,0.00041,,,
2001,AFR,GMB,MONTHS1-59,0,0.00701,,,
2006,,,MONTHS1-59,0,0.02848,,,
2005,WPR,SLB,MONTHS1-59,0,0,,,
2007,EUR,DNK,MONTHS1-59,0,0,,,
2002,SEAR,LKA,MONTHS1-59,0,0.01133,,,
2010,AFR,DZA,MONTHS1-59,0,0.00761,,,
2007,WPR,KHM,MONTHS1-59,0,0.01399,,,
2012,EMR,KWT,MONTHS1-59,0,0,,,
2008,,,MONTHS1-59,0,0.01958,,,
2008,EUR,GRC,MONTHS1-59,0,0,,,
2001,EMR,OMN,MONTHS1-59,0,0,,,
2013,EUR,DEU,MONTHS1-59,0,0,,,
2009,EUR,KGZ,MONTHS1-59,0,0,,,
2002,,,MONTHS1-59,0,0.02764,,,
2004,AFR,ZWE,MONTHS1-59,0,0.02413,,,
2001,EUR,UZB,MONTHS1-59,0,0,,,
2009,AMR,BHS,MONTHS1-59,0,0,,,
2010,EUR,MCO,MONTHS1-59,0,0,,,
2006,EMR,MAR,MONTHS1-59,0,0.00278,,,
2004,AMR,TTO,MONTHS1-59,0,0,,,
2010,,,MONTHS1-59,0,0,,,
2013,,,MONTHS1-59,0,0,,,
2010,AFR,ZWE,MONTHS1-59,0,0.01449,,,
2005,WPR,TUV,MONTHS1-59,0,0,,,
2008,EUR,SVK,MONTHS1-59,0,0,,,
2011,,,MONTHS1-59,0,0.02002,,,
2011,EUR,ROU,MONTHS1-59,0,0,,,
2006,EUR,SVN,MONTHS1-59,0,0,,,
2011,SEAR,MDV,MONTHS1-59,0,0,,,
2003,EUR,IRL,MONTHS1-59,0,0,,,
2002,WPR,MHL,MONTHS1-59,0,0,,,
2010,,,MONTHS1-59,0,0.00026,,,
2012,EUR,SVN,MONTHS1-59,0,0,,,
2009,,,MONTHS1-59,0,0.01401,,,
2012,EUR,MKD,MONTHS1-59,0,0,,,
2008,AMR,PER,MONTHS1-59,0,0,,,
2003,EMR,YEM,MONTHS1-59,0,0.02722,,,
2008,AMR,SLV,MONTHS1-59,0,0,,,
2013,EUR,AUT,MONTHS1-59,0,0,,,
2008,WPR,JPN,MONTHS1-59,0,0,,,
2008,AFR,CIV,MONTHS1-59,0,0.0157,,,
2001,AFR,LBR,MONTHS1-59,0,0.02446,,,
2000,EMR,IRQ,MONTHS1-59,0.1,0.05797,,,
2002,EUR,NOR,MONTHS1-59,0,0,,,
2006,,,MONTHS1-59,0,0.01783,,,
2008,AMR,PRY,MONTHS1-59,0,0,,,
2002,SEAR,BGD,MONTHS1-59,0,0.01229,,,
2004,AFR,TCD,MONTHS1-59,0,0.02402,,,
2003,AFR,COM,MONTHS1-59,0,0,,,
2004,WPR,NIU,MONTHS1-59,0,0,,,
2006,AMR,BRA,MONTHS1-59,0,0,,,
2013,AMR,HND,MONTHS1-59,0,0,,,
2010,EUR,ROU,MONTHS1-59,0,0,,,
2008,,,MONTHS1-59,0,0.00827,,,
2004,EMR,SOM,MONTHS1-59,0,0.02764,,,
2000,EMR,OMN,MONTHS1-59,0,0,,,
2012,EUR,DNK,MONTHS1-59,0,0,,,
2003,AFR,NER,MONTHS1-59,0,0.01411,,,
2012,WPR,VUT,MONTHS1-59,0,0,,,
2000,AFR,MRT,MONTHS1-59,0,0.01484,,,
2000,SEAR,THA,MONTHS1-59,0,0.00832,,,
2007,EUR,LVA,MONTHS1-59,0,0,,,
2002,AFR,SEN,MONTHS1-59,0,0.00586,,,
2001,EUR,GBR,MONTHS1-59,0,0,,,
2004,,,MONTHS1-59,0,0.01739,,,
2011,EUR,ALB,MONTHS1-59,0,0,,,
2012,WPR,KHM,MONTHS1-59,0,0.01099,,,
2002,EUR,IRL,MONTHS1-59,0,0,,,
2012,EUR,ITA,MONTHS1-59,0,0,,,
2002,EMR,LBN,MONTHS1-59,0,0,,,
2001,WPR,MYS,MONTHS1-59,0,0.01347,,,
2004,,,MONTHS1-59,0,0.02005,,,
2000,EUR,SVN,MONTHS1-59,0,0,,,
2005,EUR,DEU,MONTHS1-59,0,0,,,
2004,,,MONTHS1-59,0,0.0268,,,
2010,EMR,SOM,MONTHS1-59,0,0.02724,,,
2010,AMR,JAM,MONTHS1-59,0,0,,,
2011,WPR,TON,MONTHS1-59,0,0,,,
2004,WPR,SLB,MONTHS1-59,0,0,,,
2005,,,MONTHS1-59,0,0.00036,,,
2003,EUR,CYP,MONTHS1-59,0,0,,,
2011,,,MONTHS1-59,0,0.01197,,,
2000,,,MONTHS1-59,0,0,,,
2012,EUR,BGR,MONTHS1-59,0,0,,,
2000,AFR,MDG,MONTHS1-59,0,0.01474,,,
2006,SEAR,IDN,MONTHS1-59,0,0.03792,,,
2004,AMR,URY,MONTHS1-59,0,0,,,
2004,WPR,FSM,MONTHS1-59,0,0,,,
2013,,,MONTHS1-59,0,0.02709,,,
2004,WPR,LAO,MONTHS1-59,0,0.03969,,,
2001,AFR,AGO,MONTHS1-59,0,0.00985,,,
2006,EUR,ITA,MONTHS1-59,0,0,,,
2012,,,MONTHS1-59,0,0.01336,,,
2011,AMR,COL,MONTHS1-59,0,0.00922,,,
2001,WPR,COK,MONTHS1-59,0,0,,,
2005,EUR,GEO,MONTHS1-59,0,0,,,
2006,WPR,SGP,MONTHS1-59,0,0,,,
2005,SEAR,NPL,MONTHS1-59,0,0.03118,,,
2012,AFR,MDG,MONTHS1-59,0,0.01092,,,
2003,AMR,VEN,MONTHS1-59,0,0,,,
2009,AFR,SLE,MONTHS1-59,0,0.01118,,,
2007,EUR,GBR,MONTHS1-59,0,0,,,
2013,EUR,BEL,MONTHS1-59,0,0,,,
2005,AMR,VCT,MONTHS1-59,0,0,,,
2002,,,MONTHS1-59,0,0.03486,,,
2013,AFR,SYC,MONTHS1-59,0,0,,,
2008,WPR,PNG,MONTHS1-59,0,0.02169,,,
